issn,titulo,url
1519-132X,CADERNOS DE INFORMÁTICA (UFRGS),https://seer.ufrgs.br/cadernosdeinformatica/oai/
1519-275X,CENA. UFRGS,https://seer.ufrgs.br/cena/oai/
2236-3254,REVISTA CENA,https://seer.ufrgs.br/cena/oai/
2178-2172,CENA EM MOVIMENTO,https://seer.ufrgs.br/cenamov/oai/
1982-5269,REVISTA DEBATES (UFRGS),https://seer.ufrgs.br/debates/oai/
2236-479X,REVISTA DEBATES,https://seer.ufrgs.br/debates/oai/
1982-8136,DEBATES DO NER,https://seer.ufrgs.br/debatesdoner/oai/
0100-3143,EDUCAÇĂO E REALIDADE,https://seer.ufrgs.br/educacaoerealidade/oai/
2357-9854,REVISTA GEARTE,https://seer.ufrgs.br/gearte/oai/
2359-3792,ÍCONE: REVISTA BRASILEIRA DE HISTÓRIA DA ARTE,https://seer.ufrgs.br/icone/oai/
1984-1191,ILUMINURAS (PORTO ALEGRE),https://seer.ufrgs.br/iluminuras/oai/
0104-754X,MOVIMENTO (UFRGS. IMPRESSO),https://seer.ufrgs.br/Movimento/oai/
1982-8918,MOVIMENTO (UFRGS. ONLINE),https://seer.ufrgs.br/Movimento/oai/
1981-4526,NAU LITERÁRIA,https://seer.ufrgs.br/NauLiteraria/oai/
0102-6267,ORGANON (UFRGS),https://seer.ufrgs.br/organon/oai/
2238-8915,ORGANON,https://seer.ufrgs.br/organon/oai/
0103-7269,PORTO ARTE (UFRGS),https://seer.ufrgs.br/PortoArte/oai/
2237-2660,REVISTA BRASILEIRA DE ESTUDOS DA PRESENÇA,https://seer.ufrgs.br/presenca/oai/
1517-2473,ESTUDOS INTERDISCIPLINARES SOBRE O ENVELHECIMENTO,https://seer.ufrgs.br/RevEnvelhecer/oai/
1678-3484,REVISTA DO INSTITUTO HISTÓRICO E GEOGRÁFICO DO RIO GRANDE DO SUL,https://seer.ufrgs.br/revistaihgrgs/oai/
2236-1375,REVISTA VALISE,https://seer.ufrgs.br/RevistaValise/oai/
2236-4013,TRANSLATIO,https://seer.ufrgs.br/translatio/oai/
2358-1425,REVISTA TEMPOS E ESPAÇOS EM EDUCAÇĂO,https://seer.ufs.br/index.php/revtee/oai/
2358-4807,REVISTA TRAPICHE,https://seer.ufs.br/index.php/trapiche/oai/
1984-7114,CONTRAPONTOS (ONLINE),https://siaiap32.univali.br//seer/index.php/rc/oai/
2357-710X,TEATRO: CRIAÇĂO E CONSTRUÇĂO DE CONHECIMENTO,https://sistemas.uft.edu.br/periodicos/index.php/teatro3c/oai/
2447-8679,REVISTA THÉSIS,https://thesis.anparq.org.br/revista-thesis/oai/
0103-7412,OPUS (PORTO ALEGRE),https://www.anppom.com.br/revista/index.php/opus/oai/
1517-7017,OPUS (BELO HORIZONTE. ONLINE),https://www.anppom.com.br/revista/index.php/opus/oai/
1518-2800,REVISTA DO LUME (UNICAMP),https://www.cocen.unicamp.br/revistadigital/index.php/lume/oai/
2447-4223,CRÍTICA EDUCATIVA,https://www.criticaeducativa.ufscar.br/index.php/criticaeducativa/oai/
1808-2599,E-COMPÓS (BRASÍLIA),https://www.e-compos.org.br/e-compos/oai/
1984-5987,CHILDHOOD & PHILOSPHY,https://www.e-publicacoes.uerj.br/index.php/childhood/oai/
1981-9897,CONCINNITAS (ONLINE) (RIO DE JANEIRO),https://www.e-publicacoes.uerj.br/index.php/concinnitas/oai/
2316-9303,"E-MOSAICOS REVISTA MULTIDISCIPLINAR DE ENSINO, PESQUISA, EXTENSĂO E CULTURA DO INSTITUTO DE APLICAÇĂO FERNANDO RODRIGUES DA SILVEIRA (CAP-UERJ)",https://www.e-publicacoes.uerj.br/index.php/e-mosaicos/oai/
2316-4786,EKSTASIS REVISTA DE HERMENÊUTICA E FENOMENOLOGIA,https://www.e-publicacoes.uerj.br/index.php/Ekstasis/oai/
1519-8847,INTERAGIR (UERJ),https://www.e-publicacoes.uerj.br/index.php/interagir/oai/
2359-0092,REVISTA MARACANAN,https://www.e-publicacoes.uerj.br/index.php/maracanan/oai/
1676-0727,POLÊM!CA,https://www.e-publicacoes.uerj.br/index.php/polemica//oai/
1981-9935,TEXTOS ESCOLHIDOS DE CULTURA E ARTE POPULARES (IMPRESSO),https://www.e-publicacoes.uerj.br/index.php/tecap/oai/
1806-2237,BOLETIM DO CEIB,https://www.eba.ufmg.br/boletimceib/index.php/boletimdoceib/oai/
1519-6283,IMAGEM BRASILEIRA,https://www.eba.ufmg.br/revistaceib/index.php/imagembrasileira/article/view/177/oai/
1983-9928,HISTÓRIA DA HISTORIOGRAFIA,https://www.historiadahistoriografia.com.br/revista/oai/
2175-6015,PROA: REVISTA DE ANTROPOLOGIA E ARTE,https://www.ifch.unicamp.br/ojs/index.php/proa/oai/
1518-2509,FÓRUM (RIO DE JANEIRO. 2000),https://www.ines.gov.br/seer/index.php/forum-bilingue/oai/
1808-5377,INFODESIGN (SBDI. ONLINE),https://www.infodesign.org.br/infodesign/oai/
1415-9902,EDUCAÇĂO & LINGUAGEM,https://www.metodista.br/revistas/revistas-metodista/index.php/EL/oai/
2175-7747,PÁGINAS DE FILOSOFIA (SĂO BERNARDO DO CAMPO),https://www.metodista.br/revistas/revistas-metodista/index.php/PF/oai/
1981-8106,EDUCAÇĂO: TEORIA E PRÁTICA,https://www.periodicos.rc.biblioteca.unesp.br/index.php/educacao/oai/
2236-8930,CADERNOS LETRA E ATO,https://www.publionline.iar.unicamp.br/index.php/letraeato/oai/
1809-1652,SONORA,https://www.publionline.iar.unicamp.br/index.php/sonora/oai/
1981-6278,RECIIS-REVISTA ELETRÔNICA DE COM. INFORMAÇĂO & INOVAÇĂO EM SAÚDE,https://www.reciis.icict.fiocruz.br/index.php/reciis/oai/
2316-4360,ÉLISÉE - REVISTA DE GEOGRAFIA DA UEG,https://www.revista.ueg.br/index.php/elisee/oai/
1984-4298,MOVIMENTA,https://www.revista.ueg.br/index.php/movimenta/oai/
2448-1793,"REVISTA NÓS ? CULTURA, ESTÉTICA & LINGUAGENS",https://www.revista.ueg.br/index.php/revistanos/oai/
2317-5516,TEMPORIS [AÇĂO],https://www.revista.ueg.br/index.php/temporisacao/oai/
1807-6971,FENIX: REVISTA DE HISTORIA E ESTUDOS CULTURAIS,https://www.revistafenix.pro.br/revistafenix/oai/
2179-1465,REVISTA GEMINIS,https://www.revistageminis.ufscar.br/index.php/geminis/oai/
2447-1267,REVISTA APOTHEKE,https://www.revistas.udesc.br/index.php/apotheke/oai/
1984-3178,"REVISTA EDUCAÇĂO, ARTES E INCLUSĂO",https://www.revistas.udesc.br/index.php/arteinclusao/oai/
1808-3129,DAPESQUISA,https://www.revistas.udesc.br/index.php/dapesquisa/oai/
2316-7963,HUMAN FACTORS IN DESIGN,https://www.revistas.udesc.br/index.php/hfd/oai/
1982-615X,MODAPALAVRA E-PERIÓDICO,https://www.revistas.udesc.br/index.php/modapalavra/oai/
1677-1605,REVISTA NUPEART,https://www.revistas.udesc.br/index.php/nupeart/oai/
2358-0925,REVISTA NUPEART (ONLINE),https://www.revistas.udesc.br/index.php/nupeart/oai/
2525-5304,ORFEU,https://www.revistas.udesc.br/index.php/orfeu/oai/
1984-9532,PALÍNDROMO,https://www.revistas.udesc.br/index.php/palindromo/oai/
2175-2346,PALÍNDROMO (ONLINE),https://www.revistas.udesc.br/index.php/palindromo/oai/
1414-5731,URDIMENTO (UDESC),https://www.revistas.udesc.br/index.php/urdimento/oai/
2358-6060,REVISTA ARTE DA CENA,https://www.revistas.ufg.br/artce/oai/
1414-6312,HISTÓRIA REVISTA,https://www.revistas.ufg.br/historia/oai/
1415-4676,PENSAR A PRÁTICA (UFG),https://www.revistas.ufg.br/index.php/fef/oai/
1980-6183,PENSAR A PRÁTICA (ONLINE),https://www.revistas.ufg.br/index.php/fef/oai/
1676-3939,MÚSICA HODIE,https://www.revistas.ufg.br/musica/oai/
2177-5648,OPSIS,https://www.revistas.ufg.br/Opsis/oai/
2179-2925,REVISTA UFG (ONLINE),https://www.revistas.ufg.br/revistaufg/oai/
2236-0514,REVISTA POLYPHONÍA,https://www.revistas.ufg.br/sv/oai/
2238-8850,REVISTA POLYPHONÍA,https://www.revistas.ufg.br/sv/oai/
1679-6748,VISUALIDADES (UFG),https://www.revistas.ufg.br/VISUAL/oai/
2317-6784,VISUALIDADES,https://www.revistas.ufg.br/VISUAL/oai/
2525-426X,REVISTA BRASILEIRA DE PESQUISA (AUTO)BIOGRÁFICA,https://www.revistas.uneb.br/index.php/rbpab/oai/
0101-4714,"ANAIS DO MUSEU PAULISTA: HISTÓRIA, CULTURA E MATERIAL (IMPRESSO)",https://www.revistas.usp.br/anaismp/oai/
1678-5320,ARS (SĂO PAULO),https://www.revistas.usp.br/ars/oai/
