,Assunto/ palavras-chave,Autor,Contribuidor/ colaborador,Data,Editor,Título
2494,O Jardim das Cerejeiras||coluna social,,,1989,O Dia,Inconfessável
2495,O Jardim das Cerejeiras||critica,,,1989,Marina em Revista,O Jardim das Cerejeiras
2496,O Jardim das Cerejeiras||divulgação,,,1989,Jornal do Commercio,Bom Programa
2497,O Jardim das Cerejeiras||reportagem,,,1989,Jornal da Puc,"Peça de Tchekov , com alunda da Puc , fala de amor , tempo e decadência"
2498,O Jardim das Cerejeiras||divulgação,,,1989,Jornal do Brasil,O Jardim das Cerejeiras
2499,O Jardim das Cerejeiras||divulgação,,,1989,Jornal do Brasil,O Jardim das Cerejeiras
2500,O Jardim das Cerejeiras||reportagem,,,1989,Jornal do Brasil,O bistrô de Ipanema
2501,O Jardim das Cerejeiras||reportagem,,,1989,Jornal do Brasil,Prêmio Mambembe em novo formato
2502,O Jardim das Cerejeiras||reportagem,,,1989,Jornal do Brasil,Os cinco melhores do ano
2503,O Jardim das Cerejeiras||reportagem,,,1989,Jornal do Brasil,Os cinco melhores do ano
2504,O Jardim das Cerejeiras||reportagem,Mauro Trindade,,1989,Jornal do Brasil,As bilheterias populares
2505,O Jardim das Cerejeiras||critica,,,1989,Jornal do Brasil,Júri B
2506,O Jardim das Cerejeiras||reportagem,,,1989,Folha da Barra,Um texto de Tchekov para repensar o ser humano
2507,O Jardim das Cerejeiras||reportagem,,,1989,Folha da Barra,Um texto de Tchekov para repensar o ser humano
2508,Sergio Britto||divulgação,,,1986,Última Hora,Hoje tem Wilker na Tv
2509,Sergio Britto||entrevista,Soraya Kabarite,,1986,Última Hora,A vitória de Ítalo
2510,Sergio Britto||reportagem,Tânia Brandão,,1986,Última Hora,Que Viva Beckett !!
2511,Sergio Britto||reportagem,,,1965,,Teatro Brasileiro
2512,Sergio Britto||reportagem,,,1965,O Jornal,Sérgio Britto
2513,Sergio Britto||reportagem,,,1965,O Globo,Sérgio Britto
2514,Sergio Britto||reportagem,,,1965,O Globo,"A infância de hoje , foi aquela de ontem e será igual amanhã"
2515,Sergio Britto||reportagem,,,1986,Revista Visão,Um ator movido a paixão
2516,Sergio Britto||reportagem,,,1965,O Globo,Poeira de Estrelas no Municipal
2517,Sergio Britto||entrevista,,,1965,,Pingue - pongue com Sérgio Britto
2518,Sergio Britto||reportagem,Fernanda Dutra,,2010,O Globo Serra,Dupla entre encontros e desencontros
2519,Sergio Britto||coluna social,,,1986,O Globo,"Celebridades na platéia de "" Katastrophé """
2520,Sergio Britto||coluna social,,,1986,O Globo,Pecado de Mariza emociona os artistas
2521,Sergio Britto||divulgação,,,2010,O Globo,Homem das Fábulas
2522,Outono Inverno||reportagem,,,2006,Jornal O Dia,Pais e filhos
2523,Outono Inverno||critica,Mackenzie Luiz,,2006,Jornal do Brasil,"A mesa, as entranhas de uma família burguesa"
2524,Outono Inverno||digitado,Wlater Boechat,,2006,,"Outono inverno, uma viagem nas sombras"
2525,Outono Inverno||reportagem,Sérgio Maggio,,2006,Correio Braziliense,Cavagada das valqu[irias
2526,Outono Inverno,,"Sueli Franco, Denise Weinberg, Sergio Britto e Emilia Rey||Direção Eduardo Tolentino",2006,,"Monte a sua programação no Centro Cultural Banco do Brasil, Outono Inverno"
2527,Professor,,,1978,,Fotografias Curso Teatro
2528,Vestir os Nus,,"Fernanda Montenegro, Sergio Britto, Carminha Brandão, Fernando Torres, Oscar Felipe e Paulo Padilha||Direção: Alberto D'Aversa, tradução Rugero Jacobbi, cenários de Mauro Francini,",1959,,Vestir os nus
2529,Mambembe,,"Fernanda Montenegro, Sergio Britto, Fernando Torres, Luciana Petruccelli, Italo Rossi, Alfredo S. Almeida, Renato Consorte, Grace Moema, Labanca, Zilka Salaberry, Aldi de Maio, Yolanda Cardoso, Armando Nascimento, Yara Cortês, Napoleão Moniz Freire, Waldir Maia, Allan Lima, Milton Carneiro, Zanota, Henrique Fernandes, Cavâca, Milton Marcos, Paulo Matosinho, Ayres da Gama, Perola Negra, Manoel Passos, Marilena de Carvalho, Paulo Pomo, Maestro Kalúa, Roberto Pomo, Regina Aragão, Benito Rodrigues e Maria Gladys.||Direção e cenários: Gianni Ratto, figurinos de Napoleão Moniz Freire.",1959,,Mambembe
2530,Il Campanello,,"Paulo Fortes, Ruth Staerke, Lício Bruno, Norma Geraldy e Luis Fernando Lobo||Direção: Sergio Britto e Cirlei de Hollanda.",1992,,Il Campanello
2531,Fim de Jogo,,"Sergio Britto, Fabio Sabag, Napoleão Muniz Freire e Zilka Salaberry||Direção Amir Haddad",1970,,Fim de Jogo
2532,Carmen,,,,,Carmen
2533,Senhorita de Tacna,,"Walmor Chagas, Tereza Rachel, Regina Rodrigues, Marcos Wainberg, Ana Lucia Torre, Luis de Lima, Tamara Taxman, Pedro Veras e Dema Marques.||Direção: Sergio Britto",1991,,Programa Senhorita de Tacna
2534,Sergio Britto||critica,Sergio Britto,,2008,O Globo,Um libelo contra a guerra em espetáculo imperdível
2535,Carmen,,"Nelson Portella, Ruth Staerke, Maria Helena Buzelin, Guy Chalevit, Wilson Carrara, Veronica Cortez, Laurecy Prochet, Mariarosa Carminali, Michel Philippi, Victor Prochet, Vera Holtz, Vanda Spinelli, Ivone Lins e Marieta Fucks.||Direção: Sergio Britto",1981,,Carmen
2536,Sergio Britto||coluna social,,,2008,O Globo,Sérgio Britto
2537,Sergio Britto||coluna social,Carlos Swann,,1986,O Globo,desafio
2538,Sergio Britto||coluna social,,,2009,O Globo,Sérgio Britto
2539,Sergio Britto||coluna social,Hildegard Angel,,1986,O Globo,Por dentro da Tv
2540,Sergio Britto||coluna social,,,2005,O Globo,Uma noite de festa para O Corpo
2541,Sergio Britto||coluna social,,,2008,O Globo,Um Golaço na telona
2542,Sergio Britto||coluna social,Hildegard Angel,,,O Globo,Fagundes convidado para voltar ao vídeo
2543,Sergio Britto||coluna social,Joaquim Ferreira dos Santos,,2008,O Globo,Gente Boa
2544,Sergio Britto||reportagem,Patrícia Kogut,,2009,O Globo,Elenco do horário nobre
2545,Sergio Britto||reportagem,Nelson Liano JR,,1986,Jornal O Dia,Um Orgasmo adulto escapa do zoologico
2546,Sergio Britto||divulgação,,,1986,Jornal O Dia,Wilker na TVE
2547,Sergio Britto||reportagem,,,1993,Jornal O Dia,E preciso talento e vontade vencer
2548,Sergio Britto||coluna social,Reynaldo Loy,,1986,Jornal dos Sports,Detalhes
2549,Sergio Britto||coluna social,Reynaldo Loy,,1986,Jornal dos Sports,Detalhes
2550,Sergio Britto||reportagem,Adriana Castelo Branco,,1994,Jornal do Brasil,Entregue de bandeja
2551,Sergio Britto||crônica,Gerald Thomas,,2003,Jornal do Brasil,O Doutor Sergio Britto
2552,Sergio Britto||crônica,,,,Jornal do Brasil,Assim era a Atlantida
2553,Sergio Britto||reportagem,,,,Jornal do Brasil,O Living Theatre revisitado
2554,Sergio Britto||reportagem,Haliete Vaitsman,,1986,Jornal do Brasil,O merito e do artista . Mas o fracasso e do divulgador .
2555,Sergio Britto||reportagem,Joaquim Ferreira dos Santos | Mauricio Stycer,,,Jornal do Brasil,Esses man'iacos culturais e seu samba de uma nota so
2556,Sergio Britto||coluna social,Hildegard Angel,,2009,Jornal do Brasil,Hilde
2557,Sergio Britto||divulgação,Miriam Lage,,1986,Jornal do Brasil,Para os fas de John Lennon
2558,Sergio Britto||divulgação,,,1986,Folha da Tarde,"Sinatra e Wilker , boas opcoes na TV Cultura"
2559,Sergio Britto||entrevista,Joana Maciel,,,,Henri Pagnoncelli
2560,Sergio 80||reportagem,conforme legenda,,2004,conforme legenda,Uma vida sem segredos
2561,Sergio 80||reportagem,Beatriz Coelho Silva,,,,Sergio Britto festeja 80 anos com monologo
2562,Sergio 80||reportagem,Thais da Silveira,,2005,Jornal da Cidade de Bauru,Sergio 80
2563,Sergio 80||reportagem,Rachel Almeida,,2003,Jornal do Brasil,Vocacão absoluta para o teatro
2564,Sergio 80||entrevista,Rodrigo fonseca,,2003,Jornal do Brasil,Confissões de Ator
2565,Sergio 80||divulgação,,,2004,Hoje em Dia,Monólogo comemora oitenta anos de Sérgio Britto
2566,Sergio 80||divulgação,,,2003,Fonseca Bairros,Histórias saborosas de Sérgio Britto
2567,Sergio 80||divulgação,,,2004,,Sergio 80
2568,Sergio 80||divulgação,,,2004,,Sergio 80
2569,Sergio 80||propaganda,,,2004,Correio Braziliense,Sergio 80
2570,Senhorita de Tacna||coluna social,Reynaldo Loy,,1984,Última Hora,Tacna
2571,Senhorita de Tacna||entrevista,Consuelo Lins,,1984,Tribuna da Imprensa,"Com abertura , não há teatro de contestação"
2572,Senhorita de Tacna||critica,Katia Muricy,,1981,Revista Isto é,"Em cena , os mitos do cotidiano"
2573,Senhorita de Tacna||entrevista,,,1984,O Globo,Vargas Llosa : abertura é reconhecida e aplaudida
2574,Senhorita de Tacna||coluna social,Hildegard Angel,,1984,O Globo,Por dentro da tv
2575,Senhorita de Tacna||reportagem,,,1982,O Globo,Teresa Rachel uma senhorita de noventa anos
2576,Senhorita de Tacna||reportagem,Yan Michalski,,1981,Jornal do Brasil,Arena inaugura com Vargas Llosa
2577,Senhorita de Tacna||reportagem,Deborah Dumar,,1984,Jornal do Brasil,A cidade recupera um teatro
2578,Senhorita de Tacna||critica,Jeffeerson Del Rios,,1982,Folha de São Paulo,Grandeza da Senhora de Tacna
2579,Senhorita de Tacna||entrevista,,,1982,,"Jacqueline Laurence , melhor de 81 , revê seus 25 anos de palco"
2580,Santa Joana||reportagem,Yan Michalski,,1965,Jornal do Brasil,O diretor antes da fogueira
2581,Santa Joana||divulgação,,,1965,Flash Nacional,Uma santa no palco
2582,Santa Joana||divulgação,,,1965,Diário de Notícias,Joana D'Arc vista por um inglês
2583,Santa Joana||critica,Henrique Oscar,,1965,Diário de Notícias,Santa Joana no Teatro Municipal
2584,Santa Joana||reportagem,,,1965,Diário de Notícias,Joana D'Arc vista por um inglês
2585,Santa Joana||critica,Domitilia,,1965,,Esse Rio que eu amo
2586,Santa Joana||critica,,,1965,Correio da Manhã,Santa Joana
2587,Santa Joana||reportagem,,,1965,Correio da Manhã,Lançamento : Santa Joana
2588,"Sábado, Domingo e Segunda||divulgação",,,1986,Daily Post,"Sábado , Domingo e Segunda"
2589,"Sábado, Domingo e Segunda||divulgação",,,1986,Visão,"Sábado , Domingo e Segunda"
2590,"Sábado, Domingo e Segunda||reportagem",Tânia Brandão,,1986,Última Hora,Os melhores do ano teatral
2591,"Sábado, Domingo e Segunda||divulgação",,,1986,Última Hora,"Sábado , Domingo e Segunda"
2592,"Sábado, Domingo e Segunda||divulgação",,,1986,Última Hora,"Sábado , Domingo e Segunda"
2593,"Sábado, Domingo e Segunda||reportagem",,,1987,Última Hora,Um brinde com champanha
2594,"Sábado, Domingo e Segunda||divulgação",,,1987,Última Hora,Pano Rápido
2595,"Sábado, Domingo e Segunda||reportagem",Marcos Ribas de Faria,,1986,Tribuna da Imprensa,A magia dos palcos e gramados
2596,"Sábado, Domingo e Segunda||reportagem",Marcos Ribas de Faria,,1986,Tribuna da Imprensa,Um ano mais para o morno ( mas com momentos bem quentes )
2597,"Sábado, Domingo e Segunda||coluna social",Marina Colassanti,,1986,Tribuna da Imprensa,Vai nessa
2598,"Sábado, Domingo e Segunda||entrevista",Carlos Ramos,,1986,Tribuna da Imprensa,A magia de Cristina
2599,"Sábado, Domingo e Segunda||divulgação",,,1986,Jornal Tribuna da Imprensa,Teatro
2600,"Sábado, Domingo e Segunda||entrevista",Cristina Godoy,,1986,Jornal Tribuna da Imprensa,O Domador de feras
2601,"Sábado, Domingo e Segunda||entrevista",Telma Alvarenga,,1986,Jornal Tribuna da Imprensa,Um ator apaixonado por musicais
2602,"Sábado, Domingo e Segunda||divulgação",,,1987,Tribuna da Imprensa,Teatro
2603,"Sábado, Domingo e Segunda||divulgação",Carlos Ramos,,1986,Tribuna da Imprensa,"Yara , a operária da arte"
2604,"Sábado, Domingo e Segunda||divulgação",,,1986,Tribuna da Imprensa,"Sábado , Domingo e Segunda"
2605,"Sábado, Domingo e Segunda||reportagem",Marcos Ribas de Faria,,1986,Tribuna da Imprensa,"Em dueto ou em Pessoa , divirta-se . É o Teatro ."
2606,"Sábado, Domingo e Segunda||divulgação",,,1987,O Globo,"Sábado , Domigo e Segunda"
2607,"Sábado, Domingo e Segunda||divulgação",,,1987,O Globo,"Sábado , Domigo e Segunda"
2608,"Sábado, Domingo e Segunda||reportagem",Flavio Marinho,,1987,O Globo,Irreverência de Molière de volta ao Rio
2609,"Sábado, Domingo e Segunda||reportagem",,,1986,O Fluminense,Rapidinhas
2610,"Sábado, Domingo e Segunda||reportagem",,,1986,O Fluminense,Conexão Nacional é com José Wilker
2611,"Sábado, Domingo e Segunda||coluna social",Cidinha Campos,,1987,O Fluminense,Cidinha na jogada
2612,"Sábado, Domingo e Segunda||entrevista",Cidinha,,1986,O Fluminense,"Paulo Gracindo , profissão : teatro"
2613,"Sábado, Domingo e Segunda||divulgação",,,1987,O Dia,A Melhor de 86
2614,"Sábado, Domingo e Segunda||coluna social",Jorge Mascarenhas,,1987,O Dia,"Sábado , Domingo e Segunda"
2615,"Sábado, Domingo e Segunda||entrevista",Eliane Martins,,1987,O Dia,"Atrás das câmaras , uma nova fase em sua carreira"
2616,"Sábado, Domingo e Segunda||divulgação",,,1986,O Dia,Jornal da televisão
2617,"Sábado, Domingo e Segunda||divulgação",,,1986,O Dia,"Sábado , Domingo e Segunda"
2618,Il Piccolo Teatro di Milano,,,1954,,Il Piccolo Teatro di Milano
2619,"Sábado, Domingo e Segunda||propaganda",,,1986,,"Sábado , Domingo e Segunda"
2620,"Sábado, Domingo e Segunda||coluna social",Gladys Cipriano,,1986,Jornal dos Sports,Fofoquíssimas
2621,"Sábado, Domingo e Segunda||coluna social",,,1986,Jornal dos Sports,Televisão - Coluna do Waltinho
2622,"Sábado, Domingo e Segunda||reportagem",,,1987,Jornal dos Sports,Filomena
2623,"Sábado, Domingo e Segunda||coluna social",Reynaldo Loy,,1987,Jornal dos Sports,Detalhes
2624,"Sábado, Domingo e Segunda||coluna social",Reynaldo Loy,,1987,Jornal dos Sports,Detalhes
2625,"Sábado, Domingo e Segunda||reportagem",,,1987,Jornal dos Sports,Direito Autoral
2626,"Sábado, Domingo e Segunda||divulgação",,,1986,Jornal dos Sports,Karan está em todas
2627,"Sábado, Domingo e Segunda||divulgação",,,1986,Jornal dos Sports,Yara Amaral brilhando no palco
2628,"Sábado, Domingo e Segunda||critica",Décio Drummond,,1986,Jornal do Commercio,Ragu à napolitana
2629,"Sábado, Domingo e Segunda||divulgação",,,1986,Jornal do Commercio,Teatro
2630,"Sábado, Domingo e Segunda||reportagem",Décio Drummond,,1986,Jornal do Commercio,Atores dominam o teatro de SP
2631,"Sábado, Domingo e Segunda||divulgação",,,1986,Jornal do Commercio,"Temporada ""Alto Astral """
2632,"Sábado, Domingo e Segunda||reportagem",,,1986,Jornal de Brasilia,"Temporada ""Alto Astral """
2633,"Sábado, Domingo e Segunda||reportagem",,,1986,Jornal de Alagoas,Canto - de - cisne
2634,"Sábado, Domingo e Segunda||reportagem",,,1986,Jornal da Bahia,Paulo Gracindo deixa o teatro
2635,"Sábado, Domingo e Segunda||divulgação",,,1986,Jornal do Brasil,Campeões de bilheteria
2636,"Sábado, Domingo e Segunda||entrevista",Maria Silvia Camargo,,1986,Jornal do Brasil,Driblando a Velhice
2637,"Sábado, Domingo e Segunda||divulgação",,,1986,Jornal do Brasil,Pagode nas paradas
2638,"Sábado, Domingo e Segunda||entrevista",Elisabeth Orsini,,1986,Jornal do Brasil,Os Segundos serão os primeiros
2639,"Sábado, Domingo e Segunda||reportagem",Macksen Luiz,,1986,Jornal do Brasil,Ventos Democráticos
2640,"Sábado, Domingo e Segunda||entrevista",Marcia Cezimbra,,1988,Jornal do Brasil,O pobre soberbo
2641,"Sábado, Domingo e Segunda||reportagem",Macksen Luiz,,1986,Jornal do Brasil,"O melhor juiz , o público"
2642,"Sábado, Domingo e Segunda||entrevista",,,1986,Jornal do Brasil,O Anti - Mishima
2643,"Sábado, Domingo e Segunda||divulgação",,,1986,Jornal do Brasil,Campeões de bilheteria
2644,"Sábado, Domingo e Segunda||reportagem",Macksen Luiz,,1986,Jornal do Brasil,Pra Frente sorriso
2645,"Sábado, Domingo e Segunda||divulgação",Gloria Alvarez | José Henrique Alves,,1987,Jornal do Brasil,Lance - livre
2646,"Sábado, Domingo e Segunda||reportagem",Macksen Luiz,,1987,Jornal do Brasil,O espetáculo da crise
2647,"Sábado, Domingo e Segunda||reportagem",Macksen Luiz,,1987,Jornal do Brasil,Pequenas Preciosidades
2648,"Sábado, Domingo e Segunda||reportagem",Macksen Luiz,,1987,Jornal do Brasil,Grande Elenco
2649,"Sábado, Domingo e Segunda||reportagem",Macksen Luiz,,1987,Jornal do Brasil,Presenças Masculinas
2650,"Sábado, Domingo e Segunda||reportagem",Macksen Luiz,,1987,Jornal do Brasil,Presenças Masculinas
2651,"Sábado, Domingo e Segunda||reportagem",Macksen Luiz,,1986,Jornal do Brasil,Extremos
2652,"Sábado, Domingo e Segunda||critica",Marilia Martins,,1986,Revista Isto é,Comunicação Certeira
2653,"Sábado, Domingo e Segunda||critica",Barbara Heliodora,,1986,Revista Visão,Glória à emoção
2654,"Sábado, Domingo e Segunda||critica",Flavio Marinho,,1986,O Globo,Humor e emoção num excelente espetáculo
2655,"Sábado, Domingo e Segunda||reportagem",Macksen Luiz,,1986,,Os bons autores dos palcos das cidades
2656,"Sábado, Domingo e Segunda||reportagem",,,1986,,Os indicados do Mambembe
2657,"Sábado, Domingo e Segunda||reportagem",Macksen Luiz,,1986,Jornal do Brasil,Cheiro Doméstico
2658,"Sábado, Domingo e Segunda||critica",Marcos Ribas de Faria,,1986,Tribuna da Imprensa,Uma lição de amor ao teatro
2659,"Sábado, Domingo e Segunda||reportagem",,,1986,Última Hora,Arrasando no Mambembe
2660,"Sábado, Domingo e Segunda||reportagem",Joelle Rouchou,,1986,Revista Veja,Humor no almoço
2661,"Sábado, Domingo e Segunda||critica",Tânia Brandão,,1986,Última Hora,Família Imperdível
2662,"Sábado, Domingo e Segunda",,"Yara Amaral , Cristina Pereira , Ary Fontoura , Paulo Castelli , Pedro Veras , Paulo Gracindo , mônica Torres , Renata Fronzi , Guilherme Karam , Nildo Parente , Paulo Goulart , Márcia Rodrigues , Arthur Costa Filho , Alexandre Záchia , Rafael Ponzi , Ester Jablonski e Mario Lute||Direção : José Wilker ; Cenografia : Paulo Mamede , Figurinos : Mimina Roveda , Trilha Sonora : José Wilker , Música : Caique botkay e José Wilker",1986,,"Sábado , Domingo e Segunda"
2663,Ruy Castro - Livro,,,1990,,Chega de Saudade
2664,Ruy Castro - Livro||divulgação,,,1990,Última Hora,Aqui & Ali
2665,Ruy Castro - Livro||reportagem,João Máximo,,1990,Jornal do Brasil,Bossa Nova redescoberta
2666,Ruy Castro - Livro||reportagem,Marcia Cezimbra,,1990,Jornal do Brasil,Bossa Nova reabre polêmica
2667,Quatro Vezes Beckett||divulgação,,,1985,Última Hora,Quatro Vezes Beckett
2668,Quatro Vezes Beckett||reportagem,,,1985,Última Hora,Pirandello e   Beckett marcam encontro
2669,Quatro Vezes Beckett||divulgação,,,1985,Última Hora,O trio de   Beckett
2670,Quatro Vezes Beckett||critica,Marcos Ribas de Faria | Valéria Rodrigues,,1985,Tribuna da Imprensa,"Beckett nos Quatro , apenas uma vez e meia"
2671,Quatro Vezes Beckett||divulgação,Luiz Augusto,,1985,Tribuna da Imprensa,Quatro Vezes  Beckett
2672,Quatro Vezes Beckett||reportagem,Flavio Marinho,,1985,Revista Visão,Uma aula sobre Samuel Beckett
2673,Maria Della Costa,,,1952,,A...respeitosa
2674,Maria Della Costa,,,1942,,Teatro São Pedro
2675,Maria Della Costa||escrito,Sergio Britto,,1952,,Viagem ao sul
2676,Maria Della Costa||reportagem,,,1952,Jornal da Tarde,A magnífica noitada de ontem
2677,Maria Della Costa||reportagem,,,1952,Jornal da Tarde,"Estréia, hoje, com a peça Manequim"
2678,Maria Della Costa||reportagem,,,1952,Jornal da manhã,Familia Barrett
2679,Maria Della Costa||reportagem,,,1952,Folha da Tarde,Manequim
2680,Maria Della Costa||escrito,Sergio Britto,,,,Familia Barrett
2681,Quatro Vezes Beckett||divulgação,,,1986,Revista Veja,Presenças fortes nos palcos
2682,Quatro Vezes Beckett||critica,Wilson Cunha,,1985,Revista Manchete,Fumaça nos olhos
2683,Quatro Vezes Beckett||divulgação,Macksen Luiz,,1986,Revista Manchete,As 10 melhores peças
2684,Quatro Vezes Beckett||divulgação,,,1985,Revista Manchete,Beckett pelos Quatro
2685,Quatro Vezes Beckett||reportagem,José Rodolpho Câmara,,1986,Revista Amiga,Os destaques de 1985
2686,Quatro Vezes Beckett||coluna social,Hildegard Angel,,1985,O Globo,Por dentro da TV
2687,Quatro Vezes Beckett||coluna social,Hildegard Angel,,1985,O Globo,Por dentro da TV
2688,Quatro Vezes Beckett||divulgação,,,1985,O Globo,Nós em Veneza
2689,Quatro Vezes Beckett||divulgação,,,1985,O Globo,Beckett no Teatro dos Quatro
2690,Quatro Vezes Beckett||reportagem,Flavio Marinho,,1985,O Globo,Beckett : quatro textos inéditos
2691,Quatro Vezes Beckett||critica,Flavio Marinho,,1985,O Globo,A solidão humana sem acessórios
2692,Quatro Vezes Beckett||coluna social,Gladys Cipriano,,1985,Jornal dos Sports,A noitada do Sérgio
2693,Quatro Vezes Beckett||divulgação,,,1985,Jornal dos Sports,Beckett
2694,Quatro Vezes Beckett||critica,Sábato Magaldi,,1985,Jornal da Tarde,"Beckett , quatro vezes fascinante"
2695,Quatro Vezes Beckett||reportagem,Macksen Luiz,,1985,Jornal do Brasil,Circunvoluções do pensamento
2696,Quatro Vezes Beckett||entrevista,Ciléa Gropillo,,1985,Jornal do Brasil,A sutileza de Beckett na densidade de Ítalo
2697,Quatro Vezes Beckett||reportagem,Macksen Luiz,,1985,Jornal do Brasil,Teatro
2698,Quatro Vezes Beckett||propaganda,,,1985,Jornal do Brasil,Quatro Vezes Beckett
2699,Quatro Vezes Beckett||reportagem,,,1985,Folha de São Paulo,Gerald Thomas estréia no Rio
2700,Quatro Vezes Beckett||divulgação,,,1985,Espaço Democrático,Uma peça
2701,Prêmios||reportagem,Victor de Carvalho,,1965,O Globo,Os melhores em 1965
2702,Prêmios||reportagem,,,1965,O Jornal,Do bom e do melhor em 64
2703,Prêmios||coluna social,,,2008,O Globo,Teatro
2704,Prêmios||divulgação,,,2009,O Globo,Prêmio Faz Diferença
2705,Prêmios||divulgação,,,2009,O Globo,Montenegro e Britto dão adeus ao TBC
2706,Prêmios||reportagem,Alessandra Duarte,,2009,O Globo,' Inveja dos Anjos 'é favorita a Prêmio
2707,Maria Della Costa||reportagem,,,,Diário Popular,Teatro Popular de Arte Desejo
2708,Maria Della Costa||reportagem,,,,Diário Popular,Teatro Popular de Arte Manequim
2709,Prêmios||entrevista,Alessandra Duarte,,2008,O Globo,Prêmio Faz A Diferença O Globo
2710,Maria Della Costa||reportagem,,,,Diário Popular,O fundo do poço
2711,Prêmios||coluna social,Joaquim Ferreira dos Santos,,2008,O Globo,A rainha entre os súditos
2712,Maria Della Costa||reportagem,,,,Diário Popular,Familia Barrett
2713,Prêmios||reportagem,Flavio Marinho,,1983,O Globo,Prêmio Paulo Pontes de Teatro tem oito ganhadores
2714,Ídolos do Cinema,,,,,Postal Charles Ludams
2715,Prêmios||reportagem,,,2009,O Globo,""" Ensina - me a viver "" e a "" Noviça Rebelde "" entre favoritos de prêmio"
2716,Prêmios||reportagem,Armindo Blanco,,1981,Jornal O Dia,Prêmio Paulo Pontes
2717,Prêmios||reportagem,Renata Leite,,2009,Jornal do Brasil,"Após vários 'não ' , o sim do Shell"
2718,Prêmios||divulgação,,,2009,Folha de São Paulo,Sérgio Britto é ovacionado como melhor ator no Prêmio Shell
2719,Prêmios||crônica,Zuenir Ventura,,2009,O Globo,O Brasil do Bem
2720,Prêmios||divulgação,,,2010,Revista Caras,Paixão exagerada pelo Teatro
2721,Prêmios||divulgação,,,2009,Revista Caras,Prêmio Shell de Teatro
2722,Prêmios||divulgação,,,,O Globo,Faz diferença
2723,Personalidade||reportagem,Paula Fernandes,,1993,O Globo,Festa Teatral celebra 70 anos de Sérgio Britto
2724,Personalidade||coluna social,,,1993,Jornal do Brasil,Comemorados
2725,Pequenas Raposas||critica,Macksen Luiz,,2004,Jornal do Brasil,Opção pelo confinamento
2726,Patrocínios||reportagem,Claudio Figueiredo,,1987,O Globo,Shell apóia cinco peças
2727,Papa Higihrte||entrevista,Rose Martires,,1979,Tribuna da Imprensa,Papa Highirte de Oduvaldo Viana
2728,Papa Higihrte||divulgação,,,1979,Tribuna da Imprensa,"Estréia hoje ""Papa Aighirte "" de Vianinha"
2729,Papa Higihrte||critica,Edson Pinto,,1979,Revista Amiga,Um Papa descobre Tonico Pereira
2730,Papa Higihrte||divulgação,,,1979,O Globo,Papa Highirte
2731,Papa Higihrte||entrevista,Flavio Marinho,,1979,O Globo,"Papa Highirte , de Vianinha , via Sérgio Britto"
2732,Papa Higihrte||reportagem,Flavio Marinho,,1979,O Globo,Papa Highirte lidera as estréias da semana
2733,Carmen,,"Elenco Ballet Contemporaneo, bailarinos convidados e Dolores Mar.||Iluminação de Paulo Cesar Medeiros. Figurinos de Inês Antunes. Coreografia e roteiro musical Fabio de Mello.",1994,,Carmen
2734,Meninos Eu Vivi,,"Sergio Britto, Marcia Cabral, Nedira Campos, Ignez Viana, Raul Serrador, Antonio Carlos Feio, Jorge Caetano, Eduarda Fadini, Eli Mendes e Mario Ferraro. Direção: Sergio Britto.||Peça Meninos eu vivi de Sergio Britto e Marco Santos

Direção Sergio Britto",1998,,"Meninos, eu vivi"
2735,Jung e Eu,,"Sergio Britto||Peça Jung e eu de Domingos de Oliveira e Gisele Falbo Kosovski.

Direção: Domingos de Oliveira.",2005,,Jung e eu
2736,Longa Jornada De Um Dia Noite Adentro||reportagem,conforme legenda,,2003,conforme legenda,conforme legenda
2737,Longa Jornada De Um Dia Noite Adentro||reportagem,,,2003,Guia Folha de São Paulo,Aberta a temporada
2738,Papa Higihrte||critica,Antonio Lima | Sábato Magaldi,,1979,Estado de São Paulo,Vianinha volta ao palco
2739,Papa Higihrte||reportagem,Armindo Blanco,,1979,O Dia,Um moço incrível
2740,Papa Higihrte||reportagem,Armindo Blanco,,1979,O Dia,Vianinha em cartaz
2741,Papa Higihrte||reportagem,Armindo Blanco,,1979,O Dia,Papa Highirte
2742,Papa Higihrte||reportagem,Ilvaneri Penteado,,1979,Movimento,O testamento de Vianinha
2743,Papa Higihrte||reportagem,Ilvaneri Penteado,,1979,,Vianinha O reencontro de um autor com seu público
2744,Papa Higihrte||reportagem,Yan Michalski,,1979,Jornal do Brasil,"Acabou a ""Temporada da abertura "" .  E agora ?"
2745,Papa Higihrte||reportagem,Yan Michalski,,1979,Jornal do Brasil,"Acabou a ""Temporada da abertura "" .  E agora ?"
2746,Papa Higihrte||reportagem,Macksen Luiz,,1979,Jornal do Brasil,Teatro
2747,Papa Higihrte||reportagem,Macksen Luiz,,1979,Jornal do Brasil,Há bom teatro nos palcos do Rio
2748,Papa Higihrte||critica,Macksen Luiz,,1979,Jornal do Brasil,Em Papa Highirte o testemunho de uma prática cultural
2749,Papa Higihrte||reportagem,Yan Michalski,,1979,Jornal do Brasil,"Novos "" Mambembáveis "" e concurso universitário"
2750,Papa Higihrte||divulgação,,,1979,Jornal do Brasil,Papa Highirte
2751,Papa Higihrte||critica,Yan Michalski,,1980,Jornal do Brasil,Algumas Publicações sobre Teatro Brasileiro
2752,Papa Higihrte||reportagem,,,1980,Jornal do Brasil,Hecatombe de cartazes
