,Assunto/ palavras-chave,Autor,Contribuidor/ colaborador,Data,Editor,Título
1284,A mulher de todos nós||reportagem,Walter Galvani,,1966,Folha da Tarde,Fernanda Montenegro em A mulher de todos nós
1285,O Homem do Prrincípio ao Fim||reportagem,Walter Galvani,,1966,,Fernanda pata todos nós
1286,O Homem do Prrincípio ao Fim||reportagem,,,1966,,Fernanda Montenegro traz O homem do princípio ao fim
1287,A mulher de todos nós||reportagem,,,1966,,Fernanda Montenegro uma senhora visita
1288,O Homem do Prrincípio ao Fim||reportagem,,,1966,,Fernanda Montenegro em A mulher de todos nós
1289,O Homem do Prrincípio ao Fim||reportagem,,,1966,,Fernanda Montenegro em Brasilia
1290,O Homem do Prrincípio ao Fim||reportagem,,,1966,,Fernanda Montenegro uma senhora atriz
1291,A mulher de todos nós||reportagem,,,1966,,Fernanda entre nós
1292,O Homem do Prrincípio ao Fim||reportagem,,,1966,,Cantam O Homem do princípio ao fim
1293,O Homem do Prrincípio ao Fim||reportagem,,,1966,,Fernanda Montenegro sai A mulher e entra O homem do princípio ao fiim
1294,O Homem do Prrincípio ao Fim||reportagem,,,1966,,Fernanda do princípio ao fim
1295,A mulher de todos nós||reportagem,,,1966,,Fernanda de todos nós
1296,O Homem do Prrincípio ao Fim||reportagem,,,1966,,Fernanda a mesma até domingo
1297,A mulher de todos nós||reportagem,,,1966,,Uma mulher para todos nós
1298,O Homem do Prrincípio ao Fim||reportagem,,,1966,O Estado do Paraná,O único para Fernanda
1299,A mulher de todos nós||reportagem,,,1966,Estado de Minas,Estréia hoje de A mulher de todos nós
1300,O Homem do Prrincípio ao Fim||reportagem,,,1966,O Estado,Estréia de Fernanda foi sucesso no TAC
1301,A mulher de todos nós||reportagem,,,1966,,Duas sessões hoje de A mulher de todos nós
1302,O Homem do Prrincípio ao Fim||reportagem,Yan Michalki,,1966,,Dois homens do princípio ao fim
1303,O Homem do Prrincípio ao Fim||reportagem,Eddy Antonio Franciosi,,1966,Diario do Paraná,Sociedade a admirável Fernanda Montenegro
1304,O Homem do Prrincípio ao Fim||reportagem,,,1966,Diario do Paraná,Dois acontecimentos
1305,O Homem do Prrincípio ao Fim||reportagem,,,1966,Diario do Paraná,O homem do princípio ao fim
1306,O Homem do Prrincípio ao Fim||reportagem,Henrique Oscar,,1966,Diário de Notícias,Teatro O homem do princípio ao fim
1307,O Homem do Prrincípio ao Fim||reportagem,,,1966,Diário de Notícias,Fernanda e O homem do princípio ao fim
1308,Novelas e Minisséries||reportagem,,,1966,Diário de Notícias,Radio e tv
1309,O Homem do Prrincípio ao Fim||reportagem,,,1966,Diário de Notícias,O cartaz do Leopoldina muda mas Fernanda continua
1310,A mulher de todos nós||reportagem,,,1966,Diário de Notícias,Temporada teatral de verão
1311,O Homem do Prrincípio ao Fim||reportagem,,,1966,Diário de Notícias,Teatro notícias daqui
1312,O Homem do Prrincípio ao Fim||reportagem,,,1966,Diário de Notícias,O homem do princípio ao fim
1313,A mulher de todos nós||reportagem,Henrique Costa,,1967,Diário de Notícias,Nosso dez melhores espetáculos do ano
1314,A mulher de todos nós||reportagem,,,1966,Diário de Notícias,Os dois melhores espetáculos
1315,A mulher de todos nós||reportagem,,,1966,Diário de Notícias,Fernanda chegou
1316,A mulher de todos nós||reportagem,Antonio Onofre,,1966,Diário de Notícias,A mulher de todos nós estréia hoje
1317,A mulher de todos nós||reportagem,Antonio Onofre,,1966,Diário de Notícias,Ronda
1318,A mulher de todos nós||reportagem,Henrique Oscar,,1966,Diário de Notícias,Teatro A mulher de todos nós
1319,O Homem do Prrincípio ao Fim||reportagem,,,1966,Diário de Notícias,Estréia hoje
1320,O Homem do Prrincípio ao Fim||reportagem,Ana MarinA,,1966,Diário da sociedade,Mineiro vai ao teatro só pra ver ridículo
1321,O Homem do Prrincípio ao Fim||reportagem,,,1966,,O homem do princípio ao fim
1322,O Homem do Prrincípio ao Fim||reportagem,,,1966,Correio do Paraná,O homem do princípio ao fim
1323,O Homem do Prrincípio ao Fim||reportagem,,,1966,Correio do Povo,Uma dádiva de emoção
1324,A mulher de todos nós||reportagem,,,1966,Correio do Povo,Hoje a mulher de todos nós
1325,A mulher de todos nós||reportagem,,,1966,Correio do Povo,Artes mulher de todos nós
1326,A mulher de todos nós||reportagem,,,1966,Correio do Povo,Últimas da mulher de todos nós
1327,O Homem do Prrincípio ao Fim||reportagem,,,1966,Correio do Povo,Novo sucesso de Fernanda Montenegro
1328,O Homem do Prrincípio ao Fim||reportagem,,,1966,Correio do Povo,Novo sucesso de Fernanda Montenegro
1329,A mulher de todos nós||reportagem,Van Jafa,,1966,Correio da Manhã,A mulher de todos nós
1330,O Homem do Prrincípio ao Fim||reportagem,,,1966,Correio da Manhã,O homem do princípio ao fim
1331,O Homem do Prrincípio ao Fim||reportagem,,,1966,Correio da Manhã,Fernanda do princípio ao fim
1332,O Homem do Prrincípio ao Fim||reportagem,,,1966,Correio da Manhã,Diretor de teatro critica censura e sofre pressões
1333,O Homem do Prrincípio ao Fim||reportagem,,,1966,Correio da Manhã,O homem do princípio ao fim
1334,O Homem do Prrincípio ao Fim||reportagem,Van Jafa,,1966,Correio da Manhã,O homem do princípio ao fim
1335,O Homem do Prrincípio ao Fim||reportagem,Yvonne Jean,,1966,Correio Braziliense,Adeus a Sérgio Milliet
1336,O Homem do Prrincípio ao Fim||reportagem,,,1966,Correio Braziliense,O homem do princípio ao fim estréia hoje
1337,O Homem do Prrincípio ao Fim||reportagem,Yvonne Jean,,1966,Correio Braziliense,Do Madrigal de sábado ao Homem desta semana
1338,O Homem do Prrincípio ao Fim||reportagem,Wagner N. de Castro,,1966,,Cena-teatro
1339,A mulher de todos nós||reportagem,,,1966,,Chegou Fernanda
1340,O Homem do Prrincípio ao Fim||reportagem,,,1966,Jornal do Brasil,Censura do reação do  DF teme reação do povo e corta carta de Getúlio da peça de Millor.
1341,O Homem do Prrincípio ao Fim||reportagem,John Procter,,1966,Brazil Herald,From Adam to Atoms
1342,O Homem do Prrincípio ao Fim||reportagem,Philomena Gebran,,1966,,O homem do princípio ao fim
1343,A mulher de todos nós||reportagem,,,1966,,Artes Fernanda é o espetáculo
1344,Teatro dos Sete||reportagem,,,1966,O Globo,Artes e artistas
1345,O Homem do Prrincípio ao Fim||reportagem,Marchesa di Lucca,,1966,,Artes & Artistas
1346,A mulher de todos nós||reportagem,Marchesa di Lucca,,1966,,Artes & Artistas
1347,A mulher de todos nós||reportagem,,,1966,,Artes Fernanda só até domingo
1348,O Homem do Prrincípio ao Fim||reportagem,,,1966,,Artes Homem  do princípio ao fim
1349,Fernanda Montenegro||reportagem,,,,,Artes em todas
1350,O desafio||propaganda,,,1966,,O homem do princípio ao fim
1351,O desafio||propaganda,,,1966,,O desafio
1352,A mulher de todos nós||escrito,Sergio Britto,,1966,,Álbum 13
1353,A mulher de todos nós||reportagem,,,1966,,A mulher que chega terça
1354,A mulher de todos nós||reportagem,Paulo César Bicalho,,1966,,A mulher do princípio ao fim
1355,A mulher de todos nós||reportagem,,,1966,,A mulher de todos que estréia
1356,A mulher de todos nós||reportagem,,,1966,,A mulher de todos nós retorna
1357,A mulher de todos nós||reportagem,,,1966,,A mulher de todos nós
1358,A mulher de todos nós||reportagem,,,1966,,A mulher de todos nós
1359,A mulher de todos nós||reportagem,,,1966,,A mulher de todos nós despedida
1360,A mulher de todos nós||reportagem,,,1966,,A mulher depois do homem
1361,A mulher de todos nós||reportagem,,,1966,,A mulher depois do homem
1362,A mulher de todos nós||reportagem,,,1966,,A mulher de todos nós estréia no Teatr Marília
1363,O Homem do Prrincípio ao Fim||reportagem,,,,,O homem do princípio ao fim
1364,A mulher de todos nós||reportagem,,,1966,,A Fernanda de todos nós
1365,A mulher de todos nós||reportagem,,,1966,,A atriz de todos nós
1366,A mulher de todos nós||reportagem,,,1966,,O trio de A mulher de todos nós
1367,Teatro dos Sete||escrito,Sergio Britto,,1965 e 1966,,Álbum 19
1368,Sergio Britto||reportagem,,,1966,Última Hora,Censura não quer aceitar o desafio
1369,A mulher de todos nós||reportagem,,,1966,Tribuna da Imprensa,Roteirinho sugestão
1370,A mulher de todos nós||reportagem,Fausto Wolff,,1966,Tribuna da Imprensa,Roteiro de segundo sábado 66
1371,A mulher de todos nós||propaganda,,,1966,,A mulher de todos nós
1372,A mulher de todos nós||reportagem,,,1966,,Onde o merecido descando da crítica e dos artigosm no verão?
1373,A mulher de todos nós||reportagem,Victor de Carvalho,,1966,O Globo,Finalmente amanhã Fernanda em A mulher de todos nós
1374,A mulher de todos nós||reportagem,,,1965,O Globo,Fernanda é quase Clotilde
1375,A mulher de todos nós||reportagem,Victor de Carvalho,,1965,O Globo,Quem é essa parisiense
1376,A mulher de todos nós||reportagem,,,1966,O Globo,Fernanda vestida para a estréia
1377,A mulher de todos nós||reportagem,,,1966,O Globo,Coincidência
1378,A mulher de todos nós||reportagem,,,1966,O Globo,A mulher de todos nós
1379,A parisiense||reportagem,,,1965,O Globo,Stage door
1380,A mulher de todos nós||reportagem,,,1966,O Globo,O bazar
1381,A mulher de todos nós||reportagem,,,1966,,O espetáculo da Cace
1382,A mulher de todos nós||reportagem,Lea Maria,,1966,Jornal do Brasil,A mulher de todos nós
1383,A mulher de todos nós||reportagem,Yan Michalski,,1966,Jornal do Brasil,Dos sete voltaram três
1384,A mulher de todos nós||reportagem,,,,,Fernanda define Clotilde: um péssimo caráter
1385,A mulher de todos nós||reportagem,Henrique Oscar,,1966,Diário de Notícias,Das grandes estréias hoje A mulher de todos nós e quem tem medo de V. Wolf
1386,A mulher de todos nós||reportagem,,,1965,Diário de Notícias,RF em foco
