,Abrangência/ Cobertura,Assunto/ palavras-chave,Autor,Data,Descrição,Identifier,Título
163,Não identificado,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1988,moeda metal prateado. Verso: Ao centro valor orlado na parte superior e inferior e envolto perolado. Anverso: brasão de armas da república com envolto perolado,3||MCP0410,Moeda||5 cruzados
164,Não identificado,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1988,moeda metal prateado. Verso: Ao centro valor orlado na parte superior e inferior e envolto perolado. Anverso: brasão de armas da república com envolto perolado,3||MCP0409,Moeda||5 cruzados
165,Não identificado,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1988,moeda metal prateado. Verso: Ao centro valor orlado na parte superior e inferior e envolto perolado. Anverso: brasão de armas da república com envolto perolado,3||MCP0408,Moeda||5 cruzados
166,Não identificado,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1988,moeda metal prateado. Verso: Ao centro valor orlado na parte superior e inferior e envolto perolado. Anverso: brasão de armas da república com envolto perolado,3||MCP0407,Moeda||5 cruzados
167,Não identificado,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1988,moeda metal prateado. Verso: Ao centro valor orlado na parte superior e inferior e envolto perolado. Anverso: brasão de armas da república com envolto perolado,3||MCP0406,Moeda||5 cruzados
168,Não identificado,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1988,moeda metal prateado. Verso: Ao centro valor orlado na parte superior e inferior e envolto perolado. Anverso: brasão de armas da república com envolto perolado,3||MCP0405,Moeda||5 cruzados
169,Não identificado,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1988,moeda metal prateado. Verso: Ao centro valor orlado na parte superior e inferior e envolto perolado. Anverso: brasão de armas da república com envolto perolado,3||MCP0404,Moeda||5 cruzados
170,Não identificado,03 Objetos Pecuniários,Não identificado,Não identificada||Não identificada,"Peça circular metálica na cor prata, anverso: traçado do plano pilto de Brasília e acima dele inscrição ""BRASIL""; bordo liso; verso: inscrição ""50 CRUZEIROS 1981"".",3||MCP0403,Moeda
171,Não identificado,03 Objetos Pecuniários,Não identificado,Não identificada||Não identificada,"Peça circular metálica na cor prata, anverso: traçado do plano pilto de Brasília e acima dele inscrição ""BRASIL""; bordo liso; verso: inscrição ""50 CRUZEIROS 1983"".",3||MCP0402,Moeda
172,Não identificado,03 Objetos Pecuniários,Não identificado,Não identificada||Não identificada,"Peça circular metálica na cor prata, anverso: traçado do plano pilto de Brasília e acima dele inscrição ""BRASIL""; bordo liso; verso: inscrição ""50 CRUZEIROS 1983"".",3||MCP0401,Moeda
173,Não identificado,03 Objetos Pecuniários,Não identificado,Não identificada||Não identificada,"Peça circular metálica na cor prata, anverso: traçado do plano pilto de Brasília e acima dele inscrição ""BRASIL""; bordo liso; verso: inscrição ""50 CRUZEIROS 1984"".",3||MCP0400,Moeda
174,Não identificado,03 Objetos Pecuniários,Não identificado,Não identificada||Não identificada,"Peça circular metálica na cor prata, anverso: traçado do plano pilto de Brasília e acima dele inscrição ""BRASIL""; bordo liso; verso: inscrição ""50 CRUZEIROS 1983"".",3||MCP0399,Moeda
175,Não identificado,03 Objetos Pecuniários,Não identificado,Não identificada||Não identificada,"Peça circular metálica na cor prata, anverso: traçado do plano pilto de Brasília e acima dele inscrição ""BRASIL""; bordo liso; verso: inscrição ""50 CRUZEIROS 1982"".",3||MCP0398,Moeda
