,Assunto/ palavras-chave,Autor,Data,Identifier,Tipo do recurso,Título
170,Oil paint,"Guercino, Giovanni Francesco Barbieri, dito IL",1937,,óleo sobre tela,Cristo no horto das Oliveiras
171,Oil paint,Francesco Albani,1937,,óleo sobre tela,Êxtase de Santa Maria Madalena
172,Oil paint,Eugène Boudin,1876,,óleo sobre tela,Bordeaux. O porto
173,Oil paint,Francisco Rebolo,1954,,óleo sobre tela,Paisagem
174,Oil paint,Iberê Camargo,1947,,óleo sobre tela,"Lapa, Rio de Janeiro, RJ"
175,Oil paint,Autor desconhecido,1937,,óleo sobre tela,A Deposição do Cristo
176,Oil paint,Teles Júnior,1901,,"óleo sobre tela,",Paisagem pernambucana
177,Oil paint,Abraham Brueghel,1650/1697,,óleo sobre tela,Natureza morta com frutas
178,Oil paint,Georgina de Albuquerque,1904,,óleo sobre tela,Autorretrato
179,Oil paint,Vítor Meireles,1885,,óleo sobre tela,
180,Oil paint,Edouard Vienot - Henri Georges Morisset,1877,,óleo sobre tela,Retrato do Barão de São Joaquim
181,Oil paint,Carlos Reis,1885/1902,,óleo sobre madeira,Amores do moleiro
182,Oil paint,Raimundo Cela,1947,,óleo sobre tela,Consertando a rede
183,Oil paint,Hieronymus Francken (atribuído),1937,,óleo sobre tela,Cristo carregando a cruz
184,Oil paint,José Julio De Souza Pinto,1870/1939,,óleo sobre tela,Sob a verdura
185,Oil paint,Nicolas Antoine Taunay,1800,,óleo sobre cartão,Retrato de Teodoro Taunay criança
186,Oil paint,Julius Ehrentraut,1865/1922,,óleo sobre madeira,Jogadores de dados
187,Oil paint,Aldo Bonadei,1930,,óleo sobre madeira,Cerejas
188,Oil paint,Manuel de Araújo Porto Alegre,,,óleo sobre tela,Grota
189,Oil paint,Tomie Ohtake,1960,,óleo sobre tela,Pintura nº 2
190,Oil paint,Djanira,1970,,óleo sobre tela,"Morro da Guia, Cabo Frio, RJ"
191,Oil paint,Abraham Brueghel,1655/1697,,óleo sobre tela,Natureza morta com flores
192,Oil paint,Edouard Vienot - Henri Georges Morisset,1877,,óleo sobre tela,Retrato da Baronesa de São Joaquim
193,Oil paint,José Julio De Souza Pinto,1870/1939,,óleo sobre tela,Flores no vaso
194,Oil paint,Callum Innes,1980/2010,,óleo sobre tela,Exposed Painting Cadmium Orange
195,Oil paint,Fernando Fader,1906,,óleo sobre tela,Nas colinas
196,Oil paint,Fernando Fader,1906,,óleo sobre tela,Pastoreio gaúcho
197,Oil paint,Roeland Jacobsz Savery,1590/1639,,óleo sobre madeira,O paraíso terrestre
198,Oil paint,Giovanni Serritelli,1830/1860,,óleo sobre tela,Vista de Nápoles
199,Oil paint,Nicolas Antoine Taunay,1800/1825,,óleo sobre tela,São Lucas Evangelista
200,Oil paint,Tomás Santa Rosa,1943,,óleo sobre tela,Pescadores
201,Oil paint,Frans Post,1637/1680,,óleo sobre madeira,Paisagem de várzea
202,Oil paint,Eugène Boudin,1882,,óleo sobre tela,Cruzadores em Villefranche
203,Oil paint,Djanira,1961/1970,,óleo sobre tela,Natureza morta
204,Oil paint,Daniel Seghers / Jean Kessel,1600/1661,,óleo sobre madeira,Virgem com flores
205,Oil paint,Dimitri Ismailovitch,1937,,óleo sobre tela,Retrato de mulher
206,Oil paint,HENRIQUE BERNARDELLI,1930,,óleo sobre tela,Os bandeirantes
207,Oil paint,Henri Nicolas Vinet,1876,,óleo sobre tela,"A cascatinha da Tijuca, Rio de Janeiro, RJ"
208,Oil paint,Antônio Garcia Bento,1925,,óleo sobre tela,Saveiros
209,Oil paint,Carlos Oswald,1909,,óleo sobre tela,Estudo de reflexos
210,Oil paint,Frans Post,1637/1680,,óleo sobre tela,Olinda
211,Oil paint,Nicolas Antoine Taunay,1800/1825,,óleo sobre tela,São João Evangelista
212,Oil paint,Alberto Da Veiga Guignard,1952,,óleo sobre madeira,Natureza-morta
213,Oil paint,Eugène Boudin,1896,,óleo sobre madeira,Honfleur. O porto
214,Oil paint,Jorge Guinle,1980,,óleo sobre tela,Zumbido Zoantrópico
215,Oil paint,Sergio Fingermann,2001,,Óleo sobre tela,Sem Título
216,Oil paint,Eugênio Latour,1912,,óleo sobre tela colada em cartão,Bianca
217,Oil paint,Firmino Monteiro,1880/1888,,óleo sobre tela,"Paisagem de Niterói, RJ"
218,Oil paint,João Batista da Costa,1895,,óleo sobre tela,Abril ou Poesia da tarde
219,Oil paint,Eugène Boudin,1890,,óleo sobre tela,Vacas no pasto
220,Oil paint,Jorge Guinle,1986,,"óleo sobre tela,","Pau-brasil,"
221,Oil paint,Louis Buvelot,1852,,óleo sobre cartão,Vista da Gamboa
222,Oil paint,Rodolfo Amoedo,1919,,óleo sobre tela,Retrato do gravador Augusto Girardet
223,Oil paint,Hipólito Caron,1891,,óleo sobre tela,"Paisagem de Sabará, MG"
224,Oil paint,Manuel Santiago,1938,,óleo sobre tela,Autorretrato
225,Oil paint,Eliseu Visconti,1890/1920,,óleo sobre tela,Oréadas
226,Oil paint,Edouard Debat-Ponsan,1890,,óleo sobre tela,Vacas no bebedouro
227,Oil paint,João Fahrion,1939,,óleo sobre tela,Autorretrato
228,Oil paint,Carlos Chambelland,1909,,óleo sobre tela,Interior de ateliê
229,Oil paint,Grandjean de Montigny,,,óleo sobre tela,Área romana
230,Oil paint,Egidius Van Gillis Tilborgh,1937,,óleo sobre tela,Uma festa campestre
231,Oil paint,Giovanni Serritelli,1830/1860,,óleo sobre tela,Vista de Nápoles
232,Oil paint,Nicola Facchinetti,1897,,óleo sobre tela colada em madeira,Figueira brava
233,Oil paint,Aldo Bonadei,1952,,óleo sobre tela,Composição
234,Oil paint,"Frans Francken, O Jovem",1591/1642,,óleo sobre madeira,Ester perante Assuero
235,Oil paint,Eugène Boudin,1872,,óleo sobre madeira,Portrieux. A costa na maré baixa
236,Oil paint,Eugène Boudin,1871,,óleo sobre tela,Portrieux - Barcos encalhados
237,Oil paint,Giovanni Battista Castagneto,1886,,óleo sobre tela,"Pedras à beira-mar na Praia de Icaraí, Niterói, RJ"
238,Oil paint,Henrique Tribolet,1896,,óleo sobre tela,"Praia das Flechas, Niterói, RJ"
239,Oil paint,Eurico Alves,1947,,óleo sobre madeira,"Figueira"" (Paisagem de Petrópolis)"
240,Oil paint,Antônio Garcia Bento,1984,,óleo sobre tela,Manhã no porto
241,Oil paint,José Antônio da Silva,1965,,óleo sobre tela,O carreiro
242,Oil paint,José Fiúza Guimarães,1900,,óleo sobre tela,Natureza morta
243,Oil paint,Eugène Boudin,1872,,óleo sobre tela,Entrada do porto de Trouville
244,Oil paint,Benjamin Silva,959||1959.0,,óleo sobre tela,Composição
245,Oil paint,Eugène Boudin,1862,,óleo sobre madeira,Honfleur. Navios atracados no porto
246,Oil paint,Henrique Cavalleiro,1929,,óleo sobre tela,"Mimi, o modelo"
247,Oil paint,Carlos Oswald,1920/1951,,óleo sobre tela,"Cravos de Petrópolis, RJ"
248,Oil paint,Vivaldo Ramos,1982,,óleo sobre tela,Primeira missa no Brasil
249,Oil paint,Mariano Barbasán Lagueruela,1907,,óleo sobre tela,Cataplum
250,Oil paint,Maria Amélia D'azevedo,1896,,óleo sobre tela,Mignon
251,Oil paint,Rodolfo Bernardelli,1880/1930,,óleo sobre tela,"Paisagem de Capri, Itália"
252,Oil paint,Frank Schaeffer,1952,,óleo sobre tela,Usina
253,Oil paint,Désiré Laugée,1850/1896,,óleo sobre tela,Costurando
254,Oil paint,Eugênio Latour,1902,,óleo sobre tela,Escolha difícil
255,Oil paint,Rodolfo Amoedo,1882,,óleo sobre tela,"Estudo para ""Marabá"
256,Oil paint,Nicolas Louis Cabat,1830/1893,,óleo sobre tela,Uma aldeia
257,Oil paint,Ado Malagoli,1941,,óleo sobre tela,Autorretrato
258,Oil paint,Alexander Gore,1980/2015,,óleo sobre papel,Ocean Kingdom
259,Oil paint,Nicola Facchinetti,1876,,óleo sobre madeira,"Panorama de São Tomé das Letras, MG"
260,Oil paint,Eugène Boudin,1898,,óleo sobre tela,Canto de praia com recifes
261,Oil paint,Teles Júnior,1889,,óleo sobre tela,"Os buritis do Parná-Mirim [PE]"""
262,Oil paint,Jenner Augusto da Silveira,1961,,óleo sobre tela,Pintura
263,Oil paint,Autor desconhecido,1600/1816,,óleo sobre cobre,Batismo de Cristo
264,Oil paint,Autor desconhecido,1937,,óleo sobre madeira,Vênus saindo das ondas do mar
265,Oil paint,Bustamante Sá,1951,,óleo sobre aglomerado,"Paisagem de Cesson, França"
266,Oil paint,Eugène Boudin,1891,,óleo sobre madeira,Navios de guerra em Villefranche
267,Oil paint,Autor desconhecido,1937,,óleo sobre tela,Alegoria à virtude
268,Oil paint,Hilda Campofiorito,1936,,óleo sobre tela,Moça de amarelo
269,Oil paint,Joaquim Tenreiro,1946,,óleo sobre tela,"Terraço [na] ladeira do Russel, Glória, Rio [de Janeiro, RJ"
270,Oil paint,Rossini Perez,1952,,óleo sobre tela,Construção
271,Oil paint,Tiziana Bonazzola,1955,,óleo sobre tela,Paisagem
272,Oil paint,Milton Dacosta,1937,,óleo sobre tela,Katucha
273,Oil paint,Autor desconhecido,1937,,óleo sobre tela,Sacrifício de Santa Luzia
274,Oil paint,Alexander Gore,1980/2015,,óleo sobre papel,Amusement Face
275,Oil paint,José Moraes,1949,,óleo sobre tela,Retrato de Orígenes Lessa
276,Oil paint,Autor desconhecido,1600/1821,,óleo sobre tela,Perseu livrando Andrômeda
277,Oil paint,Djanira,1951,,óleo sobre tela,Galo
278,Oil paint,Zélia Salgado,1930/1952,,óleo sobre tela,Retrato de Laurinha Salgado
279,Oil paint,Inimá de Paula,1956,,óleo sobre tela,Pintura
280,Oil paint,Inimá de Paula,1956/1957,,óleo sobre tela,A derrubada
281,Oil paint,Ernani Vasconcelos,1959,,óleo sobre aglomerado,Composição
282,Oil paint,Lídio Bandeira de Melo,1959,,óleo sobre madeira,Peixe
283,Oil paint,Francisco Aurélio de Figueiredo,1878,,óleo sobre tela,Retrato de Inácio Porto Alegre
284,Oil paint,Candido Portinari,1955,,óleo sobre tela colada em madeira,Cana-de-açúcar
285,Oil paint,Ione Saldanha,1954,,óleo sobre tela,Paisagem
286,Oil paint,Silva Porto,1880/1893,,óleo sobre madeira,Paisagem
287,Oil paint,Frans Post,1637/1680,,óleo sobre madeira,Vista de um engenho de cana de açúcar
288,Oil paint,Hipólito Caron,1888,,óleo sobre tela,"Praia Formosa, Rio de Janeiro, RJ"
