,Abrangência/ Cobertura,Assunto/ palavras-chave,Tipo do recurso,Título
348,"RS||Porto Alegre||-30,036619780694007   -51,2043232232623||Nenhum registro encontrado",Nenhum registro encontrado||Apoio e fomento||Apoio e fomento,Instituição pública federal,Nenhum registro encontrado||Edital PNPI 2007 - Salvaguarda do Patrimônio Cultural Indígena: Registro etnográfico multimídia da cultura musical em comunidades Mbyá-Guarani da Grande Porto Alegre/RS||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2007 - Apoio e Fomento ao Patrimônio Cultural Imaterial
349,"RS||Santo Ângelo||-28,307382415428226   -54,25820856599569||Nenhum registro encontrado",Nenhum registro encontrado||Apoio e fomento||Apoio e fomento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)",Nenhum registro encontrado||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2007 - Apoio e Fomento ao Patrimônio Cultural Imaterial||Edital PNPI 2007 - KANHGÁG VẼNH KÓGAN MRÉ VẼNH GRÉN - Pintura e dança Kaingang
350,"SP||São Paulo||-23,53924306193508   -46,67153494723985||Nenhum registro encontrado",Nenhum registro encontrado||Apoio e fomento||Apoio e fomento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)",Nenhum registro encontrado||Edital PNPI 2007 - Projeto Bem-Te-Vi||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2007 - Apoio e Fomento ao Patrimônio Cultural Imaterial
351,"AM||Santa Isabel do Rio Negro||-1,3183046106994931   -65,54458185253166||Nenhum registro encontrado",Nenhum registro encontrado||Apoio e fomento||Apoio e fomento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)",Nenhum registro encontrado||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2007 - Apoio e Fomento ao Patrimônio Cultural Imaterial||Edital PNPI 2007 - Um patrimônio invisível: Documentação e pesquisa sobre os sistemas agrícolas do Rio Negro/AM
352,"AM||São Gabriel da Cachoeira||0,08679488919319565   -67,55912479043799||Nenhum registro encontrado",Nenhum registro encontrado||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)","Nenhum registro encontrado||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2007 - Apoio e Fomento ao Patrimônio Cultural Imaterial||Edital PNPI 2007 - Um patrimônio invisível: Documentação e pesquisa sobre os sistemas agrícolas do Rio Negro/AM||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2011 – Mapeamento e Salvaguarda do Patrimônio Cultural Imaterial||Edital PNPI 2011 - Difusão dos Bens Culturais Inventariados em quilombos do Vale do Ribeira||Edital PNPI 2009 - Identificação dos sítios e histórias ancestrais dos povos Kaiabi, Yudjá, Kisêdjê e Panará"
353,"SP||São Paulo||-23,525629257815627   -46,7017553962115||Nenhum registro encontrado",Nenhum registro encontrado||Apoio e fomento||Apoio e fomento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)",Nenhum registro encontrado||Edital PNPI 2007 - Yvy Rupa - A descoberta (que está por vir) do Brasil - Visões Guarani da História||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2007 - Apoio e Fomento ao Patrimônio Cultural Imaterial
354,"PR||Curitiba||-25,433116100156   -49,26936693052745||Nenhum registro encontrado",Nenhum registro encontrado||Apoio e fomento||Apoio e fomento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)",Nenhum registro encontrado||Edital PNPI 2008 - Estudos preliminares para o Inventário Nacional da Diversidade Linguística||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2008 - Inventário Nacional da Diversidade Linguística e Mapeamento Documental do Patrimônio Imaterial
355,"DF||Brasília||-15,813412088553578   -47,89369459710199||Nenhum registro encontrado",Nenhum registro encontrado||Apoio e fomento||Apoio e fomento,Instituição pública federal,Nenhum registro encontrado||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2008 - Inventário Nacional da Diversidade Linguística e Mapeamento Documental do Patrimônio Imaterial||Edital PNPI 2008 - Estudos preliminares para o Inventário Nacional da Diversidade Linguística
356,"SP||Araraquara||-21,806578311695425   -48,18670614614162||Nenhum registro encontrado",Nenhum registro encontrado||Apoio e fomento||Apoio e fomento,Instituição pública estadual,Nenhum registro encontrado||Edital PNPI 2008 - Estudos preliminares para o Inventário Nacional da Diversidade Linguística||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2008 - Inventário Nacional da Diversidade Linguística e Mapeamento Documental do Patrimônio Imaterial
357,"PB||João Pessoa||-7,118873326464587   -34,84554053672464||Nenhum registro encontrado",Nenhum registro encontrado||Apoio e fomento||Apoio e fomento,Instituição pública federal,Nenhum registro encontrado||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2008 - Inventário Nacional da Diversidade Linguística e Mapeamento Documental do Patrimônio Imaterial||Edital PNPI 2008 - Estudos preliminares para o Inventário Nacional da Diversidade Linguística
358,"MT||Cuiabá||-15,604058748131699   -56,09117811738293||Nenhum registro encontrado",Nenhum registro encontrado||Apoio e fomento||Identificação,Instituição pública federal,Nenhum registro encontrado||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2008 - Inventário Nacional da Diversidade Linguística e Mapeamento Documental do Patrimônio Imaterial||Mapeamento Documental do Inventário Documental do Patrimônio Imaterial de Mato-Grosso
359,"DF||Brasília||-15,81473340199819   -47,906054216243135||Nenhum registro encontrado",Nenhum registro encontrado||Apoio e fomento||Apoio e fomento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)",Nenhum registro encontrado||Edital PNPI 2009 - Corrida de Tora - Patrimônio Cultural Imaterial dos Povos Timbira do Maranhão de Tocantins||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2009 - Apoio e Fomento ao Patrimônio Cultural Imaterial
360,"RO||Cacoal||-11,438639230075843   -61,45431637963216||Nenhum registro encontrado",Nenhum registro encontrado||Apoio e fomento||Apoio e fomento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)",Nenhum registro encontrado||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2009 - Apoio e Fomento ao Patrimônio Cultural Imaterial||Edital PNPI 2009 - Acervo Paiter Suruí
361,"MA||São Luís||-2,5303781376485177   -44,27898893327382||Nenhum registro encontrado",Nenhum registro encontrado||Apoio e fomento||Apoio e fomento,Instituição pública federal,Nenhum registro encontrado||Edital PNPI 2009 - Autos e folguedos de natal no Maranhão||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2009 - Apoio e Fomento ao Patrimônio Cultural Imaterial
362,"PA||Belém||-1,4514950602942274   -48,481552222241824||Nenhum registro encontrado",Nenhum registro encontrado||Apoio e fomento||Apoio e fomento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)",Nenhum registro encontrado||Edital PNPI 2009 - Projeto cartografia social dos afroreligiosos em Belém do Pará: História e geo-referenciamento da casas de religiões afro-brasileiras||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2009 - Apoio e Fomento ao Patrimônio Cultural Imaterial
363,"PA||Salinópolis||-0,6308496226428875   -47,3400526782557||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
364,"PA||Salinópolis||-0,6250242145336218   -47,35312576499399||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
365,"PA||Salinópolis||-0,6319818782531748   -47,34056530997276||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
366,"PA||Salinópolis||-0,625067127324191   -47,349349214701114||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
367,"PA||Salinópolis||-0,63149795187885   -47,345667631683284||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
368,"PA||Salinópolis||-0,7624290415147142   -47,36443395820081||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
369,"PA||Salinópolis||-0,6307316125983946   -47,34362001624589||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
370,"PA||Salinópolis||-0,623178964205694   -47,3635327359719||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
371,"PA||Salinópolis||-0,6300450086499371   -47,34842653480039||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
372,"PA||São João de Pirabas||-0,8361149957923482   -47,10467507112753||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
373,"PA||São João de Pirabas||-0,7810010910446282   -47,183065311798146||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
374,"PA||São João de Pirabas||-0,7785551429646237   -47,17576970327779||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
375,"PA||São João de Pirabas||-0,7694364644070755   -47,176778213867586||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
376,"PA||Vigia||-0,8554959992377352   -48,13951747084319||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
377,"PA||Vigia||-0,8616214768514618   -48,13912586832689||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
378,"PA||Vigia||-0,8580813596374723   -48,14009682799035||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
379,"PA||Vigia||-0,8579848109402161   -48,14023630285761||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
380,"PA||São Caetano de Odivelas||-0,7469778901668226   -48,019561986277985||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
381,"PA||São Caetano de Odivelas||-0,7469671622424694   -48,019561986277985||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
382,"PA||São Caetano de Odivelas||-0,7235265857575949   -48,02335999424447||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
383,"PA||São Caetano de Odivelas||-0,7469457063937759   -48,01951907093345||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
384,"PA||São Caetano de Odivelas||-0,7477234808414811   -48,025229493927284||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
385,"PA||Colares||-0,9321357792534027   -48,28358972115302||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
386,"PA||Colares||-0,9303925736796794   -48,288417697378435||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
387,"PA||Colares||-0,9303979373903505   -48,288439155052046||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
388,"PA||Colares||-0,9362121950706717   -48,27846133751588||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
389,"PA||Colares||-0,9303818462578921   -48,28852498574111||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
390,"PA||Marapanim||-0,7119976345854047   -47,696834171115604||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
391,"PA||Marapanim||-0,7152804037652405   -47,69856151372072||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
392,"PA||Marapanim||-0,7150229317574418   -47,711328828632695||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
393,"PA||Marapanim||-0,7145079876984871   -47,69527848988863||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
394,"PA||Marapanim||-0,7129631551755025   -47,69708093434556||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
395,"PA||Marapanim||-0,6461915803105217   -47,71500881940015||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
396,"PA||Marapanim||-0,7124321188761368   -47,69804116517443||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
397,"PA||Marapanim||-0,7122765627766313   -47,6987975481152||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
398,"PA||Marapanim||-0,7165248515993192   -47,69841131001711||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
399,"PA||Marapanim||-0,713006067197039   -47,698046529591714||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
400,"PA||Marapanim||-0,7122765627766313   -47,69772466450906||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
401,"PA||Marapanim||-0,8872682190920838   -47,8017085435973||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
402,"PA||Marapanim||-0,8752533440599422   -47,80085023671291||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
403,"PA||Marapanim||-0,7193199858385438   -47,69695001283578||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
404,"PA||Marapanim||-0,6281682503720756   -47,637686097918404||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
405,"PA||Marapanim||-0,7119332665388192   -47,699655854999584||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
406,"PA||Marapanim||-0,7126198589888463   -47,69725259572279||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
407,"PA||Marapanim||-0,7085217587886053   -47,6953643205759||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
408,"PA||Marapanim||-0,8851227085400617   -47,80063565999295||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
409,"PA||Marapanim||-0,7104098891754417   -47,69918378621331||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
410,"PA||Marapanim||-0,7134780994074665   -47,70008500844222||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
411,"PA||Marapanim||-0,7122765627766313   -47,69862588673797||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
412,"PA||Marapanim||-0,7136497474719852   -47,698969209491544||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
413,"PA||Marapanim||-0,7110750258325368   -47,69759591847635||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
414,"PA||Marapanim||-0,7084466626777604   -47,69379791051166||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
415,"PA||Marapanim||-0,9428150454887166   -47,645904386341286||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
416,"PA||Marapanim||-0,6285115524811026   -47,64541085988229||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
417,"PA||Marapanim||-0,7122765627766313   -47,70995553761661||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
418,"PA||Marapanim||-0,711654338326779   -47,69899066716336||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
419,"PA||Marapanim||-1,0223469331433086   -47,74609025746572||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
420,"PA||Marapanim||-0,8857234516198899   -47,80162271291003||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
421,"PA||Marapanim||-0,7112466739865562   -47,69708093434556||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
422,"PA||Marapanim||-0,7110808816830796   -47,69695001283578||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
423,"PA||Marapanim||-0,7025140660849916   -47,69745644360551||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
424,"PA||Marapanim||-0,7115899702754734   -47,69931253224602||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
425,"PA||Marapanim||-0,7191424821461849   -47,700342500507624||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
426,"PA||Marapanim||-0,7095301921592218   -47,696737611591985||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
427,"RJ||Paraty||-23,22301466428961   -44,72372682982||Nenhum registro encontrado",Nenhum registro encontrado||Apoio e fomento||Apoio e fomento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)","Nenhum registro encontrado||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2010 - Edital Mapeamento, Documentação, Apoio e Fomento ao Patrimônio Cultural Imaterial||Edital PNPI 2010 - Culturas de fibra"
428,"MG||Belo Horizonte||-19,919870410904526   -43,93302503791716||Nenhum registro encontrado",Nenhum registro encontrado||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)","Nenhum registro encontrado||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2010 - Edital Mapeamento, Documentação, Apoio e Fomento ao Patrimônio Cultural Imaterial||Edital PNPI 2010 - Livro vivo: Medicina tradicional Huni Kuin||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2011 – Mapeamento e Salvaguarda do Patrimônio Cultural Imaterial||Edital PNPI 2011 - Mapeamento e Salvaguarda do saber quilombola do Jucá do Quilombo de Volta do Campo Grande, Vale do Canindé, Semi-Árido Piauiense"
429,"BA||Salvador||-12,997989702469818   -38,505898335347815||Nenhum registro encontrado",Nenhum registro encontrado||Apoio e fomento||Apoio e fomento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)","Nenhum registro encontrado||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2010 - Edital Mapeamento, Documentação, Apoio e Fomento ao Patrimônio Cultural Imaterial||Edital PNPI 2010 - Memória e história da Casa de Oxumaré: Tradição ancestral e saber preservado"
430,"CE||Juazeiro do Norte||-7,225877439276053   -39,312900929483234||Nenhum registro encontrado",Nenhum registro encontrado||Apoio e fomento||Apoio e fomento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)","Nenhum registro encontrado||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2010 - Edital Mapeamento, Documentação, Apoio e Fomento ao Patrimônio Cultural Imaterial||""Edital PNPI 2010 - O museu que há em nós: pesquisa/mapeamento dos saberes, modos de fazer, formas de expressão, festas, rituais, celebrações, lugares e espaços de importância coletiva para a comunidade do Horto em Juazeiro do Norte"""
431,"RN||Natal||-5,788279867404   -35,199842210642046||Nenhum registro encontrado",Nenhum registro encontrado||Apoio e fomento||Apoio e fomento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)","Nenhum registro encontrado||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2010 - Edital Mapeamento, Documentação, Apoio e Fomento ao Patrimônio Cultural Imaterial||Edital PNPI 2010 - Patrimônio Imaterial: Mapeamento e Difusão"
432,"SP||São Sebastião||-23,804159232188127   -45,40748936983958||Nenhum registro encontrado",Nenhum registro encontrado||Apoio e fomento||Apoio e fomento,Instituição pública municipal,"Nenhum registro encontrado||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2010 - Edital Mapeamento, Documentação, Apoio e Fomento ao Patrimônio Cultural Imaterial||Edital PNPI 2010 - Preservação dos processos culturais da sociedade sebastianense"
433,"DF||Brasília||-15,809448096439153   -47,8923213060868||Nenhum registro encontrado",Nenhum registro encontrado||Apoio e fomento||Apoio e fomento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)","Nenhum registro encontrado||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2010 - Edital Mapeamento, Documentação, Apoio e Fomento ao Patrimônio Cultural Imaterial||Edital PNPI 2010 - Projeto EG RÁ - Nossas Marcas"
434,"RJ||Rio de Janeiro||-22,902148875381187   -43,227923378960696||Nenhum registro encontrado",Nenhum registro encontrado||Apoio e fomento||Apoio e fomento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)","Nenhum registro encontrado||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2010 - Edital Mapeamento, Documentação, Apoio e Fomento ao Patrimônio Cultural Imaterial||Edital PNPI 2010 - Projeto Quero Ver Pegar"
435,"RN||Natal||-5,782814684596422   -35,20293211542778||Nenhum registro encontrado",Nenhum registro encontrado||Apoio e fomento||Apoio e fomento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)",Nenhum registro encontrado||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2011 – Mapeamento e Salvaguarda do Patrimônio Cultural Imaterial||Edital PNPI 2011 - Capoeira no Rio Grande do Norte
436,"RS||Porto Alegre||-30,037808639366386   -51,217369487910595||Nenhum registro encontrado",Nenhum registro encontrado||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)",Nenhum registro encontrado||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2011 – Mapeamento e Salvaguarda do Patrimônio Cultural Imaterial||Edital PNPI 2011 - Carijo: herança do conhecimento ancestral na fabricação da erva-mate||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2009 - Apoio e Fomento ao Patrimônio Cultural Imaterial||Edital PNPI 2009 - Tambor de Sopapo – Resgate histórico da cultura negra do extremo sul do Brasil
437,"MG||Ouro Preto||-20,388180556867056   -43,59626230318066||Nenhum registro encontrado",Nenhum registro encontrado||Apoio e fomento||Apoio e fomento,Instituição pública municipal,Nenhum registro encontrado||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2011 – Mapeamento e Salvaguarda do Patrimônio Cultural Imaterial||Edital PNPI 2011 - Inventário das manifestações culturais afrodescendentes de Ouro Preto
438,"DF||Brasília||-15,797555654239625   -47,860735612726785||Nenhum registro encontrado",Nenhum registro encontrado||Apoio e fomento||Apoio e fomento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)",Nenhum registro encontrado||Edital PNPI 2011 - Memórias de quilombolas Kalunga em Romaria no Vão de Almas||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2011 – Mapeamento e Salvaguarda do Patrimônio Cultural Imaterial
439,"RS||Antônio Prado||-28,858629894647027   -51,2803398257555||Nenhum registro encontrado",Nenhum registro encontrado||Apoio e fomento||Apoio e fomento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)",Nenhum registro encontrado||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2011 – Mapeamento e Salvaguarda do Patrimônio Cultural Imaterial||Edital PNPI 2011 - Mestres Bordadeiras
440,"SP||Ilhabela||-23,82069491251258   -45,36612412963657||Nenhum registro encontrado",Nenhum registro encontrado||Apoio e fomento||Apoio e fomento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)",Nenhum registro encontrado||Edital PNPI 2011 - Os Saberes do Fazer – Cultura Caiçara Viva||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2011 – Mapeamento e Salvaguarda do Patrimônio Cultural Imaterial
