,Abrangência/ Cobertura,Assunto/ palavras-chave,Tipo do recurso,Título
151,"PA||Maracanã||-0,9019493333255063   -47,495076233539024||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
152,"PA||Maracanã||-0,7907249138512473   -47,44426446596104||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
153,"PA||Maracanã||-0,8497703737534227   -47,52116876283561||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
154,"PA||Magalhães Barata||-0,7415844408776847   -47,67563056694524||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
155,"PA||Magalhães Barata||-0,7959371938908795   -47,60014784084856||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
156,"PA||Magalhães Barata||-0,7939096390320473   -47,59941827999688||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
157,"PA||Magalhães Barata||-0,7940960346610381   -47,599212420453874||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
158,"PA||Magalhães Barata||-0,8070928607953727   -47,63229585268455||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
159,"PA||Magalhães Barata||-0,8830674384197676   -47,58691918598667||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
160,"PA||Curuçá||-0,7289519033451914   -47,84798504980934||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
