,Abrangência/ Cobertura,Assunto/ palavras-chave,Data,Tipo do recurso,Título
20,"Pernambuco||Jaboatão dos Guararapes||-43,07214676||Local||Local||Nenhum registro encontrado||Nenhum registro encontrado",Saberes||Celebrações||Não informado,Não informado||Não informado,Identificação,"Saberes e práticas das parteiras tradicionais em Caruaru, Igaraçu, Palmares, Ipojuca, Jaboatão dos Guararapes e Trindade||Cachimbada"
21,"Pernambuco||Recife||-42,94508803||Estadual||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Estadual||Local||Local||Local||Nacional||Estadual||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Nacional||Nenhum registro encontrado||Nenhum registro encontrado",Formas de expressão||Formas de expressão||Lugares||Formas de expressão||Lugares||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Lugares||Lugares||Formas de expressão||Lugares||Formas de expressão||Formas de expressão||Formas de expressão||Lugares||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Lugares||Lugares||Saberes||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Saberes||Lugares||Formas de expressão||Não informado,20/02/2006||28/02/2007,Reconhecimento,"Frevo||Bloco Carnavalesco Misto Banhistas do Pina||Grêmio Carnavalesco Misto Batutas de São José||Bloco Carnavalesco Misto Pierrot de São José||Centro de Formação, Pesquisa e Memória Cultural - Casa do Carnaval||Bloco Carnavalesco Misto Madeira do Rosarinho||Clube carnavalesco Misto Lavadeiras de Areias||Clube Carnavelsco Misto Pás Douradas||Clube Carnavalesco Misto Vassourinhas do Recife||Clube de Máscaras O Galo da Madrugada||Escola Municipal de Frevo Maestro Fernando Borges||Fábrica de Discos Rozenblit Ltda.||Troça Carnavalesca Comunitária Mista Tô Chegando Agora||Troça Carnavalesca Mista Abanadores do Arruda||Troça Carnavalesca Mista Batutas de Água Fria||Balé Popular do Recife||Bloco das Flores||Centro de Cultura e Educação Daruê Malungo||Intérprete do Frevo - Claudionor Germano||Composições de Carlos Fernando||Composições de Getúlio Cavalcanti||Composições de Maestro Nunes||O Passo do Frevo (nomeação dos passos)||O Passo do Frevo||O Passo do Frevo (origens dos passos)||O Passo do Frevo (passos característicos)||Orquestra Banda de Frevo do Nordeste||Orquestra do Bloco da Saudade||Orquestra Popular da Bomba do Hemetério||Orquestra Popular do Recife||Orquestra Som Brasil||Orquestra Vocal da Bomba do Hemeutério||Roteiro de Evocações||Roteiro do Galo da Madrugada||Estandartes e Flabelos||Clube Carnavalesco Misto Cachorro do Homem Miúdo||Clube Carnavalesco Misto Vassourinhas de Olinda||Clube de Alegorias e Críticas O Homem da Meia Noite||Troça Carnavalesca Pitombeira dos Quatro Cantos||Bloco Anárquico Virgens do Bairro Novo||Grupo de Passistas Adriana do Frevo||Orquestra Henrique Dias||Bonecos Gigantes||Roteiro ""Sobe e Desce""||Carnaval (Pernambuco)"
22,"Pernambuco||Caruaru||-44,26427965||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Nacional||Local||Local||Nenhum registro encontrado||Nenhum registro encontrado",Lugares||Lugares||Lugares||Saberes||Lugares||Lugares||Formas de expressão||Lugares||Lugares||Lugares||Lugares||Lugares||Lugares||Lugares||Lugares||Lugares||Lugares||Lugares||Lugares||Lugares||Saberes||Lugares||Saberes||Não informado,24/02/2006||20/12/2006,Reconhecimento,"Feira de Caruaru||Casa de Mestre Vitalino||Memorial de Mestre Galdino||Produção em Barro/Torno||Mercado de Carnes||Mercado de Farinha||Xilogravura||Museu do Cordel Olegário Fernandes||Feira de Artesanato||Feira de Calçados||Feira de Ervas||Feira de Ferragens||Feira de Flores||Feira de Frutas, Verduras e Cereais||Feira de Roupas||Feira do Fumo||Feira de Gado||Feira do Paraguai||Feira do Troca-Troca||Santa Cruz do Capibaribe||Cordel (Caruaru)||Casas de Farinha (Caruaru)||Produção em Barro/Manual"
23,"Piauí||Teresina||-47,89225464||Nacional||Nenhum registro encontrado||Nenhum registro encontrado",Saberes||Não informado,Não informado||Não informado,Identificação,Arte Santeira no Piauí
24,"Paraná||Paranaguá||-73,84184758||Local||Nenhum registro encontrado||Nenhum registro encontrado",Saberes||Não informado,Não informado||Não informado,Identificação,Lanço de Tainha
25,"Paraná||Lapa||-75,50312785||Local||Local||Local||Local||Local||Local||Local||Local||Local||Nenhum registro encontrado||Nenhum registro encontrado",Formas de expressão||Formas de expressão||Lugares||Formas de expressão||Celebrações||Saberes||Saberes||Saberes||Formas de expressão||Não informado,2004||2007,Identificação,Terminologias Tropeiras||O Tropeiro.||Antiga Rua das Tropas||Roda de Chimarrão||Festa do Tropeiro||Ferreiro.||Seleiro||Carpinteiro-Marceneiro||Comidas e Bebidas Tropeiras
26,"Rio de Janeiro||Angra dos Reis||-67,32821389||Local||Nenhum registro encontrado||Nenhum registro encontrado",Celebrações||Não informado,Não informado||Não informado,Identificação,Festa de São Benedito (Angra dos Reis)
27,"Rio de Janeiro||Rio de Janeiro||-66,07925826||Local||Local||Local||Nenhum registro encontrado||Nenhum registro encontrado",Celebrações||Celebrações||Celebrações||Não informado,2005||2005,Identificação,Festa do Divino Espírito Santo do Terreiro Ilê de Iansã-Obaluaiê||Festa do Divino Espírito Santo no terreiro do Cazuá do Mironga||Festa do Divino Espírito Santo no terreiro do Abassá de Mina Jeje Nagô
28,"Rio de Janeiro||Paraty||-67,93165657||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Nenhum registro encontrado||Nenhum registro encontrado",Celebrações||Celebrações||Celebrações||Celebrações||Celebrações||Celebrações||Lugares||Lugares||Lugares||Lugares||Celebrações||Não informado,2005||out/10,Identificação,Festa do Divino Espírito Santo de Paraty||Festa do Divino Espírito Santo de Paraty (identificação)||Festa de Santa Rita||Celebrações de Páscoa||Festa de Nossa Senhora dos Remédios||Festa de São Benedito (Paraty)||Igreja Matriz de Nossa Senhora dos Remédios||Igreja de Nossa Senhora do Rosário||Igreja de Santa Rita||Igreja de Nossa Senhora das Dores||Folia do Divino
29,"Rio Grande do Norte||Caicó||-43,5504614||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Estadual||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Nenhum registro encontrado||Nenhum registro encontrado",Lugares||Formas de expressão||Celebrações||Lugares||Saberes||Lugares||Lugares||Celebrações||Saberes||Celebrações||Celebrações||Celebrações||Celebrações||Celebrações||Celebrações||Celebrações||Celebrações||Formas de expressão||Formas de expressão||Celebrações||Lugares||Lugares||Saberes||Lugares||Lugares||Lugares||Saberes||Formas de expressão||Lugares||Formas de expressão||Celebrações||Lugares||Lugares||Saberes||Celebrações||Lugares||Lugares||Lugares||Celebrações||Saberes||Formas de expressão||Formas de expressão||Celebrações||Lugares||Lugares||Lugares||Lugares||Saberes||Saberes||Lugares||Lugares||Não informado,Não informado||ago/10,Identificação,Açude Marechal Dutra||Banda de Música de Acari||Festa de Nossa Senhora da Guia||Matriz de Nossa Senhora da Guia||Ofício de rezadeiro(a) e benzadeiro(a)||Poço do Felipe||Praça Coronel Cripriano Pereira de Araújo.||Festa de Nossa Senhora do Rosário||Ofício de Coureiro||Carnaval de Caicó||Carreata dos Motoristas||Feirinha de Sant'ana||Festa da Juventude||Festa dos ex-aluno do CDS||Festa do Reencontro||Novenas de Sant'ana||Peregrinações Urbana e Rural||Dança do Espontão||Banda de Música de carnaúba dos Dantas||Festa de Nossa Senhora das Vitórias||Igreja Matriz de São José||Monte do Galo||Ofício de Biscoitera||Praça Caetano Dantas Correia||Santuário de Santa Rita de Cássia||Serra da Rajada||Ofício de Cozinheira e modo de feitura da buchada||Tradição Oral||Açude Público de Cruzeta||Banda de Música de Cruzeta||Feira de Nossa Senhora dos Remédios||Igreja Matriz de Nossa Senhora dos Remédios (Cruzeta)||Praça de eventos Dr. Silvio Bezerra de Melo||Ofício de Marchante e o modo de preparo da carne de sol||Festa de Sant'ana (Currais Novos)||Igreja Matriz de Sant'ana||Mina-Brejuí||Praças Cristo Rei e Praça Cívica Thomas Salustiano||Vaquejada||Ofício de queijeiro e modo de feitura do queijo de coalho e manteiga||Devoção Católica||Banda de Música do Jardim do Seridó||Carnaval do Jardim do Seridó||Casa do Rosário||Igreja Matriz de Nossa Senhora da Conceição||Ponte Pedra Lavrada||Praça Dr. José Augusto||Ofício de Santeiro||Ofício de Doceira e Modo de feitura de filhós||Engenhos de Rapadura||Igreja de São Severino Mártir
