,Abrangência/ Cobertura,Assunto/ palavras-chave,Data,Tipo do recurso,Título
123,"São Paulo||São Paulo||-70,19317336||Associação Sementes D’África - Ponto de Cultura Jongo - História, Sabedoria e Identidade Negra||Centro de Referência de Estudo Afro do Sul Fluminense - Ponto de Cultura Jongo de Pinheiral||Associação Cultural Jongo da Serrinha - Ponto de Cultura “Escola de Jongo da Serrinha”||Associação Jongo Dito Ribeiro - Ponto de Cultura Comunidade Jongo Dito Ribeiro||Associação da Comunidade Negra Remanescente de Quilombo da Fazenda São José da Serra - Ponto de Cultura “Núcleo de Cultura Popular do Vale do Paraíba - Quilombo São José da Serra”||Não informado||Não informado",Referência/Partícipe||Referência/Partícipe||Referência/Partícipe||Referência/Partícipe||Referência/Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/124/,2007||2009,Apoio e fomento,Nenhum registro encontrado
124,"São Paulo||Queluz||-67,20637344||Associação Sementes D’África - Ponto de Cultura Jongo - História, Sabedoria e Identidade Negra||Centro de Referência de Estudo Afro do Sul Fluminense - Ponto de Cultura Jongo de Pinheiral||Associação Cultural Jongo da Serrinha - Ponto de Cultura “Escola de Jongo da Serrinha”||Associação Jongo Dito Ribeiro - Ponto de Cultura Comunidade Jongo Dito Ribeiro||Associação da Comunidade Negra Remanescente de Quilombo da Fazenda São José da Serra - Ponto de Cultura “Núcleo de Cultura Popular do Vale do Paraíba - Quilombo São José da Serra”||Não informado||Não informado",Referência/Partícipe||Referência/Partícipe||Referência/Partícipe||Referência/Partícipe||Referência/Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/125/,Não informado||2007,Apoio e fomento,Nenhum registro encontrado
125,"Minas Gerais||Itanhandu||-67,21301243||Associação Sementes D’África - Ponto de Cultura Jongo - História, Sabedoria e Identidade Negra||Centro de Referência de Estudo Afro do Sul Fluminense - Ponto de Cultura Jongo de Pinheiral||Associação Cultural Jongo da Serrinha - Ponto de Cultura “Escola de Jongo da Serrinha”||Associação Jongo Dito Ribeiro - Ponto de Cultura Comunidade Jongo Dito Ribeiro||Associação da Comunidade Negra Remanescente de Quilombo da Fazenda São José da Serra - Ponto de Cultura “Núcleo de Cultura Popular do Vale do Paraíba - Quilombo São José da Serra”||Não informado||Não informado",Referência/Partícipe||Referência/Partícipe||Referência/Partícipe||Referência/Partícipe||Referência/Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/126/,Não informado||2009,Apoio e fomento,Nenhum registro encontrado
126,"São Paulo||São Paulo||-70,19313266||Associação Sementes D’África - Ponto de Cultura Jongo - História, Sabedoria e Identidade Negra||Centro de Referência de Estudo Afro do Sul Fluminense - Ponto de Cultura Jongo de Pinheiral||Associação Cultural Jongo da Serrinha - Ponto de Cultura “Escola de Jongo da Serrinha”||Associação Jongo Dito Ribeiro - Ponto de Cultura Comunidade Jongo Dito Ribeiro||Associação da Comunidade Negra Remanescente de Quilombo da Fazenda São José da Serra - Ponto de Cultura “Núcleo de Cultura Popular do Vale do Paraíba - Quilombo São José da Serra”||Não informado||Não informado",Referência/Partícipe||Referência/Partícipe||Referência/Partícipe||Referência/Partícipe||Referência/Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/127/,Não informado||2007,Apoio e fomento,Nenhum registro encontrado
127,"Minas Gerais||Itamonte||-67,08447819||Associação Sementes D’África - Ponto de Cultura Jongo - História, Sabedoria e Identidade Negra||Centro de Referência de Estudo Afro do Sul Fluminense - Ponto de Cultura Jongo de Pinheiral||Associação Cultural Jongo da Serrinha - Ponto de Cultura “Escola de Jongo da Serrinha”||Associação Jongo Dito Ribeiro - Ponto de Cultura Comunidade Jongo Dito Ribeiro||Associação da Comunidade Negra Remanescente de Quilombo da Fazenda São José da Serra - Ponto de Cultura “Núcleo de Cultura Popular do Vale do Paraíba - Quilombo São José da Serra”||Não informado||Não informado",Referência/Partícipe||Referência/Partícipe||Referência/Partícipe||Referência/Partícipe||Referência/Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/128/,2007||2009,Apoio e fomento,Nenhum registro encontrado
128,"São Paulo||São José dos Campos||-69,0631795||Associação Sementes D’África - Ponto de Cultura Jongo - História, Sabedoria e Identidade Negra||Centro de Referência de Estudo Afro do Sul Fluminense - Ponto de Cultura Jongo de Pinheiral||Associação Cultural Jongo da Serrinha - Ponto de Cultura “Escola de Jongo da Serrinha”||Associação Jongo Dito Ribeiro - Ponto de Cultura Comunidade Jongo Dito Ribeiro||Associação da Comunidade Negra Remanescente de Quilombo da Fazenda São José da Serra - Ponto de Cultura “Núcleo de Cultura Popular do Vale do Paraíba - Quilombo São José da Serra”||Não informado||Não informado",Referência/Partícipe||Referência/Partícipe||Referência/Partícipe||Referência/Partícipe||Referência/Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/129/,Não informado||Não informado,Apoio e fomento,Nenhum registro encontrado
129,"Rio de Janeiro||Rio de Janeiro||-66,33494426||Associação Sementes D’África - Ponto de Cultura Jongo - História, Sabedoria e Identidade Negra||Centro de Referência de Estudo Afro do Sul Fluminense - Ponto de Cultura Jongo de Pinheiral||Associação Cultural Jongo da Serrinha - Ponto de Cultura “Escola de Jongo da Serrinha”||Associação Jongo Dito Ribeiro - Ponto de Cultura Comunidade Jongo Dito Ribeiro||Associação da Comunidade Negra Remanescente de Quilombo da Fazenda São José da Serra - Ponto de Cultura “Núcleo de Cultura Popular do Vale do Paraíba - Quilombo São José da Serra”||Não informado||Não informado",Referência/Partícipe||Referência/Partícipe||Referência/Partícipe||Referência/Partícipe||Referência/Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/130/,Não informado||Não informado,Apoio e fomento,Nenhum registro encontrado
130,"Rio de Janeiro||Rio de Janeiro||-66,08190048||Associação Sementes D’África - Ponto de Cultura Jongo - História, Sabedoria e Identidade Negra||Centro de Referência de Estudo Afro do Sul Fluminense - Ponto de Cultura Jongo de Pinheiral||Associação Cultural Jongo da Serrinha - Ponto de Cultura “Escola de Jongo da Serrinha”||Associação Jongo Dito Ribeiro - Ponto de Cultura Comunidade Jongo Dito Ribeiro||Associação da Comunidade Negra Remanescente de Quilombo da Fazenda São José da Serra - Ponto de Cultura “Núcleo de Cultura Popular do Vale do Paraíba - Quilombo São José da Serra”||Não informado||Não informado",Referência/Partícipe||Referência/Partícipe||Referência/Partícipe||Referência/Partícipe||Referência/Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/131/,Não informado||2009,Apoio e fomento,Nenhum registro encontrado
131,"Bahia||Santo Amaro||-51,25810981||UEFS - Núcleo de Estudos do Recôncavo||Associação de Pesquisa em Cultura Popular e Música Tradicional do Recôncavo||UFRB - Universidade Federal do Recôncavo da Bahia||ASSEBA (Associação dos Sambadores e Sambadeiras do Estado da Bahia)||Não informado||Não informado",Partícipe||Referência/Partícipe||Partícipe||Referência/Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/132/,2009||2010,Apoio e fomento,Local
132,"Bahia||Santo Amaro||-51,2580625||UEFS - Núcleo de Estudos do Recôncavo||Associação de Pesquisa em Cultura Popular e Música Tradicional do Recôncavo||UFRB - Universidade Federal do Recôncavo da Bahia||ASSEBA (Associação dos Sambadores e Sambadeiras do Estado da Bahia)||Não informado||Não informado",Partícipe||Referência/Partícipe||Partícipe||Referência/Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/133/,Não informado||2009,Apoio e fomento,Local
133,"Bahia||Santo Amaro||-51,25796034||Associação de Pesquisa em Cultura Popular e Música Tradicional do Recôncavo||UFRB - Universidade Federal do Recôncavo da Bahia||ASSEBA (Associação dos Sambadores e Sambadeiras do Estado da Bahia)||Não informado||Não informado",Referência/Partícipe||Partícipe||Referência/Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/134/,Não informado||2010,Apoio e fomento,Local
134,"Bahia||Santo Amaro||-51,25782283||ASSEBA (Associação dos Sambadores e Sambadeiras do Estado da Bahia)||Não informado||Não informado",Referência/Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/135/,Não informado||Não informado,Apoio e fomento,Local
135,,,,,
136,"Bahia||Santo Amaro||-51,25812559||UEFS - Núcleo de Estudos do Recôncavo||Associação de Pesquisa em Cultura Popular e Música Tradicional do Recôncavo||ASSEBA (Associação dos Sambadores e Sambadeiras do Estado da Bahia)||Não informado||Não informado",Partícipe||Referência/Partícipe||Referência/Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/137/,2009||mar/10,Apoio e fomento,Local
137,"Bahia||Santo Amaro||-51,25799838||UEFS - Núcleo de Estudos do Recôncavo||UFRB - Universidade Federal do Recôncavo da Bahia||ASSEBA (Associação dos Sambadores e Sambadeiras do Estado da Bahia)||Não informado||Não informado",Partícipe||Partícipe||Referência/Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/138/,2009||2009,Apoio e fomento,Local
138,"Bahia||Santo Amaro||-51,25809576||UEFS - Núcleo de Estudos do Recôncavo||Associação de Pesquisa em Cultura Popular e Música Tradicional do Recôncavo||UFRB - Universidade Federal do Recôncavo da Bahia||Não informado||Não informado",Partícipe||Referência/Partícipe||Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/139/,2009||2010,Apoio e fomento,Local
139,"Bahia||Santo Amaro||-51,25804117||UEFS - Núcleo de Estudos do Recôncavo||Associação de Pesquisa em Cultura Popular e Música Tradicional do Recôncavo||UFRB - Universidade Federal do Recôncavo da Bahia||ASSEBA (Associação dos Sambadores e Sambadeiras do Estado da Bahia)||Não informado||Não informado",Partícipe||Referência/Partícipe||Partícipe||Referência/Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/140/,2010||2010,Apoio e fomento,Local
140,"Bahia||Santo Amaro||-51,25809902||UEFS - Núcleo de Estudos do Recôncavo||Associação de Pesquisa em Cultura Popular e Música Tradicional do Recôncavo||UFRB - Universidade Federal do Recôncavo da Bahia||ASSEBA (Associação dos Sambadores e Sambadeiras do Estado da Bahia)||Não informado||Não informado",Partícipe||Referência/Partícipe||Partícipe||Referência/Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/141/,jan/10||fev/10,Apoio e fomento,Local
141,"Bahia||Santo Amaro||-51,25808267||UEFS - Núcleo de Estudos do Recôncavo||Associação de Pesquisa em Cultura Popular e Música Tradicional do Recôncavo||UFRB - Universidade Federal do Recôncavo da Bahia||ASSEBA (Associação dos Sambadores e Sambadeiras do Estado da Bahia)||Não informado||Não informado",Partícipe||Referência/Partícipe||Partícipe||Referência/Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/142/,2009||2010,Apoio e fomento,Local
142,"Mato Grosso||Cuiabá||-71,69813527||Casa Cuiabana - Centro Cultural da Viola de Cocho (Pontão Viola de Cocho)||Federação Mato-grossense das Associações e Grupos de Cururu Siriri||Não informado||Não informado",Partícipe||Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/143/,Não informado||Não informado,Apoio e fomento,Local||Regional
143,"Mato Grosso||Cuiabá||-71,69344214||Casa Cuiabana - Centro Cultural da Viola de Cocho (Pontão Viola de Cocho)||Federação Mato-grossense das Associações e Grupos de Cururu Siriri||Não informado||Não informado",Partícipe||Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/144/,Não informado||2009,Apoio e fomento,Local||Regional
144,"Rio de Janeiro||Rio de Janeiro||-66,10346284||Nenhum registro encontrado||Não informado||Não informado",Nenhum registro encontrado||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/145/,Não informado||Não informado,Apoio e fomento,Local
145,"Mato Grosso||Cuiabá||-71,69349918||Casa Cuiabana - Centro Cultural da Viola de Cocho (Pontão Viola de Cocho)||Federação Mato-grossense das Associações e Grupos de Cururu Siriri||Não informado||Não informado",Partícipe||Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/146/,Não informado||2008,Apoio e fomento,Local||Regional
146,"Mato Grosso||Cuiabá||-71,6934962||Casa Cuiabana - Centro Cultural da Viola de Cocho (Pontão Viola de Cocho)||Federação Mato-grossense das Associações e Grupos de Cururu Siriri||Não informado||Não informado",Partícipe||Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/147/,Não informado||2008,Apoio e fomento,Local||Regional
147,"Mato Grosso||Cuiabá||-71,69351507||Casa Cuiabana - Centro Cultural da Viola de Cocho (Pontão Viola de Cocho)||Federação Mato-grossense das Associações e Grupos de Cururu Siriri||Não informado||Não informado",Partícipe||Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/148/,Não informado||2008,Apoio e fomento,Local||Regional
148,"Mato Grosso do Sul||Corumbá||-76,64899566||Casa Cuiabana - Centro Cultural da Viola de Cocho (Pontão Viola de Cocho)||Federação Mato-grossense das Associações e Grupos de Cururu Siriri||Não informado||Não informado",Partícipe||Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/149/,2008||2008,Apoio e fomento,Local||Regional
149,"Mato Grosso||Cuiabá||-71,69349937||Casa Cuiabana - Centro Cultural da Viola de Cocho (Pontão Viola de Cocho)||Federação Mato-grossense das Associações e Grupos de Cururu Siriri||Não informado||Não informado",Partícipe||Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/150/,Não informado||2008,Apoio e fomento,Local||Regional
150,,,,,
151,,,,,
152,"Distrito Federal||Brasília||-63,74049201||Centro de Estudos Afro-Orientais||Terreiro Ilê Axé Opô Afonjá||Abam (Associação das Baianas de Acarajé, Mingau, Receptivos e Similares do Estado da Bahia)||Não informado||Não informado",Referência/Partícipe||Referência/Partícipe||Referência/Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/153/,Não informado||2005,Apoio e fomento,Nacional||Nacional
153,"Bahia||Salvador||-51,48432111||Centro de Estudos Afro-Orientais||Terreiro Ilê Axé Opô Afonjá||Não informado||Não informado",Referência/Partícipe||Referência/Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/154/,Não informado||2007,Apoio e fomento,Nacional||Nacional
154,"Bahia||Salvador||-51,48723546||Centro de Estudos Afro-Orientais||Terreiro Ilê Axé Opô Afonjá||Não informado||Não informado",Referência/Partícipe||Referência/Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/155/,Não informado||2007,Apoio e fomento,Nacional||Nacional
155,"Bahia||Salvador||-51,48718964||Centro de Estudos Afro-Orientais||Terreiro Ilê Axé Opô Afonjá||Não informado||Não informado",Referência/Partícipe||Referência/Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/156/,Não informado||2007,Apoio e fomento,Nacional
156,"Amazonas||São Gabriel da Cachoeira||-67,2187859||Nenhum registro encontrado||Não informado||Não informado",Nenhum registro encontrado||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/157/,Não informado||2007,Apoio e fomento,Nenhum registro encontrado
157,"Amazonas||São Gabriel da Cachoeira||-67,21809926||Nenhum registro encontrado||Não informado||Não informado",Nenhum registro encontrado||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/158/,Não informado||jan/08,Apoio e fomento,Nenhum registro encontrado
158,"Amazonas||São Gabriel da Cachoeira||-67,21964421||Nenhum registro encontrado||Não informado||Não informado",Nenhum registro encontrado||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/159/,2009||2011,Apoio e fomento,Nenhum registro encontrado
159,"Amazonas||São Gabriel da Cachoeira||-67,21861424||Nenhum registro encontrado||Não informado||Não informado",Nenhum registro encontrado||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/160/,Não informado||2009,Apoio e fomento,Nenhum registro encontrado
160,"Amazonas||São Gabriel da Cachoeira||-67,22033085||Nenhum registro encontrado||Não informado||Não informado",Nenhum registro encontrado||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/161/,Não informado||2010,Apoio e fomento,Nenhum registro encontrado
161,"Distrito Federal||Brasília||-63,69516259||Nenhum registro encontrado||Não informado||Não informado",Nenhum registro encontrado||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/162/,Não informado||2007,Apoio e fomento,Nenhum registro encontrado
162,,,,,
163,"Pernambuco||Caruaru||-44,27212681||Nenhum registro encontrado||Não informado||Não informado",Nenhum registro encontrado||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/164/,2011||2011,Apoio e fomento,Local
164,"Pernambuco||Caruaru||-44,2639807||Nenhum registro encontrado||Não informado||Não informado",Nenhum registro encontrado||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/165/,Não informado||2007,Apoio e fomento,Local
165,"Maranhão||São Luís||-46,79523771||Conselho Cultural do Tambor de Crioula do Maranhão||Secretaria de Estado da Cultura do Maranhão||Associação Cultural do Tambor de Crioula do Estado do Maranhão (ACTACEMA)||Prefeitura de São Luís||União dos Tambores de Crioula do Estado do Maranhão - UNITA||Ponto de Cultura Tambores da Ilha / Instituto de Desenvolvimento Sustentável Bem Comum||Não informado||Não informado",Referência/Partícipe||Referência/Partícipe||Partícipe||Referência/Partícipe||Referência/Partícipe||Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/166/,Não informado||2011,Apoio e fomento,Estadual
166,"Rio de Janeiro||Rio de Janeiro||-66,14204649||Nenhum registro encontrado||Não informado||Não informado",Nenhum registro encontrado||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/167/,2008||2010,Apoio e fomento,Nenhum registro encontrado
167,"Distrito Federal||Brasília||-63,7403653||Nenhum registro encontrado||Não informado||Não informado",Nenhum registro encontrado||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/168/,Não informado||Não informado,Apoio e fomento,Nenhum registro encontrado
168,"Distrito Federal||Brasília||-63,74048291||Nenhum registro encontrado||Não informado||Não informado",Nenhum registro encontrado||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/169/,2010||2010,Apoio e fomento,Nenhum registro encontrado
169,,,,,
170,"Distrito Federal||Brasília||-63,74046894||Nenhum registro encontrado||Não informado||Não informado",Nenhum registro encontrado||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/171/,Não informado||Não informado,Apoio e fomento,Nenhum registro encontrado
171,"Distrito Federal||Brasília||-63,74041813||Nenhum registro encontrado||Não informado||Não informado",Nenhum registro encontrado||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/172/,Não informado||Não informado,Apoio e fomento,Nenhum registro encontrado
172,,,,,
173,"Distrito Federal||Brasília||-63,74034344||Nenhum registro encontrado||Não informado||Não informado",Nenhum registro encontrado||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/174/,25/10/2010||Não informado,Apoio e fomento,Nenhum registro encontrado
174,"Amazonas||São Gabriel da Cachoeira||-67,17569883||Local||Nenhum registro encontrado||Nenhum registro encontrado",Lugares||Não informado,Não informado||10/08/2006,Reconhecimento,Cachoeira de Iauaretê – Lugar sagrado dos povos indígenas dos rios Uaupés e Papuri
175,"Minas Gerais||Diamantina||-61,84082854||Estadual||Regional||Local||Nenhum registro encontrado||Nenhum registro encontrado",Formas de expressão||Formas de expressão||Formas de expressão||Não informado,13/01/2001||03/12/2009,Reconhecimento,"Toque de Procissão Festiva||Toque dos Sinos em Minas Gerais, tendo como referência São João dei-Rei e as cidades de Ouro Preto, Mariana, Catas Altas, Congonhas do Campo, Diamantina, Sabará, Serro e Tiradentes||Chamada para Adoração ao Santíssimo Sacramento"
176,"Minas Gerais||Serro||-61,86168278||Regional||Nenhum registro encontrado||Nenhum registro encontrado",Saberes||Não informado,13/08/2001||03/12/2009,Reconhecimento,Ofício de Sineiro
177,"Distrito Federal||Brasília||-63,72231683||Nacional||Nenhum registro encontrado||Nenhum registro encontrado",Formas de expressão||Não informado,17/02/2006||21/10/2008,Reconhecimento,Roda de Capoeira
178,"Distrito Federal||Brasília||-63,71301537||Nacional||Nenhum registro encontrado||Nenhum registro encontrado",Saberes||Não informado,17/02/2006||21/10/2008,Reconhecimento,Ofício dos Mestres de Capoeira
179,"Espírito Santo||Viana||-60,79473134||Nenhum registro encontrado||Não informado||Não informado",Nenhum registro encontrado||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/180/,Não informado||19/08/2010,Apoio e fomento,Nenhum registro encontrado
180,"Espírito Santo||Vitória||-60,60327752||Nenhum registro encontrado||Não informado||Não informado",Nenhum registro encontrado||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/181/,Não informado||2010,Apoio e fomento,Nenhum registro encontrado
181,"Amapá||Pedra Branca do Amapari||0,9655476223446088   -52,83886235299683||IEPE - Instituto de Pesquisa e Formação em Educação Índigena||Não informado||Não informado",Referência/Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/182/,Não informado||2009,Apoio e fomento,Nenhum registro encontrado
182,"Pará||Belém||-49,96029727||Nenhum registro encontrado||Não informado||Não informado",Nenhum registro encontrado||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/183/,07/11/2008||08/11/2008,Apoio e fomento,Local
183,"Amapá||Pedra Branca do Amapari||1,1193307136317188   -52,915766649871394||IEPE - Instituto de Pesquisa e Formação em Educação Índigena||Não informado||Não informado",Referência/Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/184/,Não informado||2007,Apoio e fomento,Nenhum registro encontrado
184,"Amapá||Laranjal do Jari||1,0973621684911659   -52,937739306121536||IEPE - Instituto de Pesquisa e Formação em Educação Índigena||Não informado||Não informado",Referência/Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/185/,Não informado||2007,Apoio e fomento,Nenhum registro encontrado
185,"Pará||São Caetano de Odivelas||-48,93040896||Nenhum registro encontrado||Não informado||Não informado",Nenhum registro encontrado||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/186/,Não informado||2010,Apoio e fomento,Local
186,"Pará||Belém||-49,89323303||Nenhum registro encontrado||Não informado||Não informado",Nenhum registro encontrado||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/187/,Não informado||2007,Apoio e fomento,Local
187,"Maranhão||São Luís||-46,83572745||Nenhum registro encontrado||Não informado||Não informado",Nenhum registro encontrado||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/188/,2008||2008,Apoio e fomento,Estadual
188,"Maranhão||São Luís||-46,83293993||Nenhum registro encontrado||Não informado||Não informado",Nenhum registro encontrado||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/189/,Não informado||2008,Apoio e fomento,Estadual
189,"São Paulo||São Paulo||-70,22112591||Nenhum registro encontrado||Não informado||Não informado",Nenhum registro encontrado||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/190/,Não informado||2010,Apoio e fomento,Nenhum registro encontrado
190,"Bahia||Rio Real||-49,4145505||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,2001||2001,Identificação,Nenhum registro encontrado
191,"Goiás||Niquelândia||-62,91510125||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,Não informado||Não informado,Identificação,Nenhum registro encontrado
192,"Minas Gerais||Belo Horizonte||-63,84764265||Nenhum registro encontrado||MG||Santa Cruz de Minas, Tiradentes",Nenhum registro encontrado||Não informado,Não informado||Não informado,Identificação,Nenhum registro encontrado
193,"Pará||Belém||-49,9406646||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,2003||2005,Identificação,Nenhum registro encontrado
