colecao,link_item,Criador,Data,Tipo,Título,Dimensões físicas,Data de criação,Meio,Nº de registro,Autor,Coleção,Material/Técnica
Oil paint,https://artsandculture.google.com/asset/natureza-morta/oAHMgXrFHI3zKA,Estevão Silva,1889,óleo sobre tela,Natureza-morta,,,,,,,
Oil paint,https://artsandculture.google.com/asset/mineiros-de-carvo-santa-catarina/QwE2BxG4qk4vPQ,Djanira,1974,óleo sobre tela,"Mineiros de carvão, Santa Catarina",,,,,,,
Oil paint,https://artsandculture.google.com/asset/a-grande-cidade-iluminada/WAGvMA2meaHNVg,ANTÔNIO BANDEIRA,1953,óleo sobre tela,A grande cidade iluminada,w72 x d91 (cm),,,,,,
Oil paint,https://artsandculture.google.com/asset/la-e-maura/yAEbWfihHFYINw,Alberto da Veiga Guignard,1940,óleo sobre tela,Léa e Maura,w104 x d86 (cm),,,,,,
Oil paint,https://artsandculture.google.com/asset/messalina/YgE6Rn5MU5BIuQ,Henrique Bernardelli,1878/1886,óleo sobre tela,Messalina,,,,,,,
Oil paint,https://artsandculture.google.com/asset/paisagem-de-sabar-mg/FwFRTTJmQgvDPQ,Alberto da Veiga Guignard,1952,óleo sobre madeira,"Paisagem de Sabará, MG",,,,,,,
Oil paint,https://artsandculture.google.com/asset/paisagem-da-paraba/bAFUD-d6RQ5b6A,Frans Post,1637/1680,óleo sobre madeira,Paisagem da Paraíba,,,,,,,
Oil paint,https://artsandculture.google.com/asset/canto-de-praia-so-domingos-niteri-rj/NgGrVEXWrk1hhw,Antônio Parreiras,1886,óleo sobre tela,"Canto de praia, São Domingos, Niterói, RJ",w56 x d99 (cm),,,,,,
Oil paint,https://artsandculture.google.com/asset/a-sesta/wwFR3BfvmgGLVw,José Malhoa,1898,óleo sobre madeira,A sesta,,,,,,,
Oil paint,https://artsandculture.google.com/asset/vista-da-entrada-da-baa-do-rio-de-janeiro-tomada-da-praia-de-icara-em-niteri-rj/yQF5keszjEH5kQ,Henri Nicolas Vinet,1872,óleo sobre madeira,"Vista da entrada da baía do Rio de Janeiro tomada da Praia de Icaraí em Niterói, RJ",w41 x h26.5 cm,,,,,,
Oil paint,https://artsandculture.google.com/asset/paisagem-de-santa-teresa-rio-de-janeiro/OgGf0mjX0aSvwQ,Inimá de Paula,1950,óleo sobre tela,"Paisagem de Santa Teresa, Rio de Janeiro",,,,,,,
Oil paint,https://artsandculture.google.com/asset/colonos/0QGgByeMsqlRsg,Di Cavalcanti,1940,óleo sobre tela,Colonos,w97 x d130 (cm),,,,,,
Oil paint,https://artsandculture.google.com/asset/vista-da-enseada-de-trouville/oQEZorYg4oaR5A,Eugène Boudin,1865,óleo sobre tela,Vista da enseada de Trouville,w46.5 x h32.5,,,,,,
Oil paint,https://artsandculture.google.com/asset/a-bacante/4gF0sdWt5Iflgw,Vítor Meireles,1857/1858,óleo sobre tela,A bacante,,,,,,,
Oil paint,https://artsandculture.google.com/asset/vieux-parc-paris/0AGEHUGF79LemA,Antônio Parreiras,1914,óleo sobre tela,"Vieux parc, Paris",,,,,,,
Oil paint,https://artsandculture.google.com/asset/no-vero/YwEvpjquuaDsPg,Eliseu Visconti,1894,óleo sobre tela,No verão,,,,,,,
Oil paint,https://artsandculture.google.com/asset/autorretrato-em-trs-posies/OgGcIaj6L0a_jA,Eliseu Visconti,1900/1940,óleo sobre tela,Autorretrato em três posições,,,,,,,
Oil paint,https://artsandculture.google.com/asset/caador-de-passarinho/ngGOI-jdymLOtg,Candido Portinari,1958,óleo sobre madeira,Caçador de passarinho,,,,,,,
