Assuntos;Catalogação Pré MARC;Descrição Física;Entradas Secundárias/Autor;Entradas Secundárias/Série;Notas;Número de chamada;Publicação;Série;Título Principal;Unidade_de_Informação;Endereço Eletrônico;Autor Principal;ISBN;Edição;Outros Títulos;ISSN;Nota de conteúdo;Número de Chamada;Título Uniforme/Original;Coleção;Notas de Resumo;Notas Locais;Acesso Eletrônico;Local e Editora da Publicação;Localização do Artigo;Título do Artigo;Autor do Artigo;Freqüência da Publicação;Título Anterior;Título Chave/Abreviado
Belém (PA)  História  Patrimônio histórico  Arte;;130 p.;;Roteiros do Patrimômio;;981  B317a  IPHAN-PA;Brasília : IPHAN, MONUMENTA, 2008.;(Roteiros do Patrimômio);Art Nouveau em Belém /;IPHAN-PA(571);;Bassalo, Celia Coelho;;;;;;;;;;;;;;;;;;
"Piauí; artistas populares  Arte popular  Piauí";;36 p.;Lima, Lívia Ribeiro (Org.);Sala do Artista Popular, 161;Catálogo da exposição realizada no período de 19 de agosto a 19 de setembro de 2010;745.51  A786  IPHAN-PA;Rio de Janeiro : IPHAN, CNFCP, 2010.;(Sala do Artista Popular, 161);ARTE em madeira do Piauí : santos e sertões do imaginário;IPHAN-PA(571);;;;;;;;;;;;;;;;;;;;
Arte  Itaiópolis (SC)    DetalhesEslavos    Detalhes;;145 p. : il. color.;Costa, Maria Elisabeth de Andrade    Detalhesorg.  Figueiredo, Wilmara  org.;Caderno de memórias;;745.5098164  P853a  IPHAN-PR  745.5898164  A786  IPHAN-AP  745.5098164  A786  IPHAN-PA;Rio de Janeiro : CNFCP, Iphan, 2014.;(Caderno de memórias);A arte eslava de Itaiópolis / Organização: Maria Elisabeth Costa, Wilmara Fiqueiredo;IPHAN-PA(571);;;ISBN 9788573342567;;;;;;;;;;;;;;;;;
"Patrimônio imaterial; índios wajãpi; patrimônio cultural";;140 p.;;Dossiê Iphan, 2;Possui CD;704.03981  A786  2  IPHAN-PA;Brasília : Iphan, 2008.;(Dossiê Iphan, 2);ARTE Kusiwa : pintura corporal e arte gráfica wajãpi;IPHAN-PA(571);;;ISBN 9788573340723;2. ed.;;;;;;;;;;;;;;;;
Brasil  Brasil. arte barroca  Arte sacra  Brasil. arte colonial;;287 p.;;;;704.9480981  I59a  IPHAN-PA;São Paulo : Ed. UNESP, 2001.;;Arte sacra colonial : barroco memória viva;IPHAN-PA(571);;Brasil. Iphan;;;;;;;;;;;;;;;;;;
Arte popular  Festa do divino espírito santo  Festa do divino  Arte folclórica;;39 p.;;Sala do artísta popular, 142;Catálogo da exposição realizada no Museu de Folclore Edison Carneiro, de 03 de abril a 04 de maio de 2008.;745.098173  A474a  IPHAN-PA;Rio de Janeiro : Iphan, CNFCP, 2008.;"(Sala do artista popular ; 142)";As artes do divino de Pirenópolis - Goiás / Pesquisa e texto de Ana Claudia Lima e Alves;IPHAN-PA(571);;Alves, Ana Claudia Lima e;;;;;;;;;;;;;;;;;;
Artes do mar. educação patrimonial;;72 p.;;Preservação e desenvolvimento, 15;;392.3  A786  IPHAN-PA;Brasília : IPHAN, Monmenta, 2009.;(Preservação e desenvolvimento, 15);Artes do mar : Laguna - SC;IPHAN-PA(571);;;;;;;;;;;;;;;;;;;;
Grafismo  Artesãos  Artesanato em cuia  Pará;;188  p. : il. color.  24cm;;;;744.42  A786  IPHAN-PA  745.50918115  A748a  IPHAN-AP  745.50981  A786  CDP (Rio de Janeiro);"Rio de Janeiro : IPHAN; CNFCP, 2011.";;"O artesanato de cuias em perspectiva-Santarém  Organização de Luciana Gonçalves de Carvalho; textos de : Luciana Gonçalves de Carvalho; Luciana Alem Genarri; Elizabeth Ferreira da Silva e Patricia Pereira Peralta";IPHAN-PA(571);Imagem;;ISBN 9788573342048;;;;;;;;;;;;;;;;;
Fotografia. patrimônio cultural. preservação;;159 p.;;Cadernos de Pesquisa e Documentação;;363.69  I59a  1  IPHAN-PA;Rio de Janeiro : IPHAN, COPEDOC, 2008.;(Cadernos de Pesquisa e Documentação  n. 1);Assentamentos Jesuíticos : Territórios e significados;IPHAN-PA(571);;Brasil. Iphan;;;;;;;;;;;;;;;;;;
Athos bulcão  Arquitetura       brasileira  Educação patrimonial;;72 p.;Perpétuo, Thiago Pereira  org.  Pinto, Francisco Ricardo Costa  org.;;;720.81  A865  CDP (Brasília)  IPHAN-PA  025.8  C719  IPHAN-ES  028.5  I59a  IPHAN-PR;Brasília : Iphan, 2018.;;Athos : colorindo Brasília / Thiago Pereira Perpétuo, Francisco Ricardo Costa Pinto (org.);IPHAN-PA(571);Imagem;Instituto do Patrimônio Histórico e Artístico Nacional (Brasil);ISBN 9788573343410;;;;;;;;;;;;;;;;;
Educação patrimonial. patrimônio cultural. programa monumenta;;74 p.;;Série Preservação e desenvolvimento: Monumenta, 2;;370.115  A924  IPHAN-PA;Brasília : IPHAN, MONUMENTA, 2007.;(Série Preservação e desenvolvimento: Monumenta, 2);AULA Patrimônio- Alfândega e Madre de Deus;IPHAN-PA(571);;;;;;;;;;;;;;;;;;;;
Arte religiosa. artistas populares. orixá;;48 p.;;;Consulta local;704.94896  IPHAN-PA;Rio de Janeiro : IPHAN, CNFCP, 2004.;;AWON OLEDÉ : os senhores da caça /;IPHAN-PA(571);;Condurú, Roberto;;;;;;;;;;;;;;;;;;
Arquitetura civil  Azulejos  Arquitetura religiosa  Belém (PA);;343 p. : il. color.;Brito, Stella Regina Soares de  Sanjad, Thais Alessandra Bastos Caminha;;;738.6098115  A 347 a  CDP (Rio de Janeiro)  738.6098115  A347a  CDP (Brasília)  738.60981  A347a  IPHAN-SP  738.6098115  A347a  IPHAN-PA;Brasília : Iphan, 2016.;;"Azulejaria em Belém do Pará : inventário ? arquitetura civil e religiosa ? século XVII ao XX / Dora Monteiro e Silva de Alcântara; Stella Regina Soares de Brito; Thais Alessandra Bastos Caminha Sanjad";IPHAN-PA(571);Imagem;Alcântara, Dora de,  1931-;ISBN 9788573342918;;;;;;;;;;;;;;;;;
Azulejos;;110 p.;;Edições do Patrimônio;;738.6  A997  IPHAN-PA;Rio de Janeiro : Iphan, 1997.;(Edições do Patrimônio);AZULEJOS na cultura luso - brasileira;IPHAN-PA(571);;;;;;;;;;;;;;;;;;;;
Pará. artesanato de balata. artistas populares. objeto artesanal  Arte popular;;28 p.;;Sala do Artista Popular, 131;;709.81  B171  IPHAN-PA;Rio de Janeiro : IPHAN, CNFCP, 2006.;(Sala do Artista Popular, 131);Balata : amazônia em miniatura;IPHAN-PA(571);;Carvalho, Luciana Gonçalves de (org.);;;;;;;;;;;;;;;;;;
"Patrimônio naval; embarcação; variedades de barcos";;32 p.;;;;363.69  B242  IPHAN-PA;Brasília : Iphan, 2011.;;Barcos do Brasil : patrimônio histórico e artístico nacional;IPHAN-PA(571);;Instituto do Patrimônio Histórico e Artístico Nacional;;;;;;;;;;;;;;;;;;
Patrimônio cultural  Pirenópolis (GO)  Arquitetura rural  Arquitetura religiosa;;348 p.;Cavalcante, Neusa  Américo, Eliel (il.);;;720.9081  C376b  IPHAN-PA  IPHAN-PR  363.69098173  C376b  IPHAN-ES  363.69098173  C376b  IPHAN-SC;Brasília : Iphan, 2018.;;Barro, madeira e pedra : patrimônio de Pirenópolis;IPHAN-PA(571);Imagem;Cavalcante, Sílvio;ISBN 9788590713616;;;;;;;;;;;;;;;;;
Preto/mg. mariana/mg  Barroco. arquitetura. rococó. ouro;;180 p.;Campos, Adalgisa Arantes;Roteiros do Patrimônio, 10;;726.51  O48b  IPHAN-PA;Brasília : IPHAN, Programa Monumenta, 2010.;(Roteiros do Patrimônio, 10);Barroco e Rococó nas igrejas de Ouro Preto e Mariana /;IPHAN-PA(571);;Oliveira, Myriam Andrade Ribeiro de;;;;;;;;;;;;;;;;;;
Arquitetura religiosa  Barroco  Rococó;;2 t.;Ribeiro, Emanuela Sousa;;Texto em português e inglês;726.50981  O48b  IPHAN-PA;Brasília : Iphan, 2015.;(Roteiros do patrimônio);Barroco e rococó nas igrejas de Recife e Olinda / Myriam Andrade Ribeiro de Oliveira e Emanuela Sousa Ribeiro;IPHAN-PA(571);;Oliveira, Myriam Andrade de;ISBN 9788573342673  ISBN 9788573342680;;Baroque and rococo in the churches of Recife and Olinda;;;;;;;;;;;;;;;
Barroco. rococó. arquitetura. são joão del  Rei/mg. tiradentes/mg;;204 p.;Santos, Olinto Rodrigues dos;Roteiros do patrimônio, 8;;726.51  O48b  IPHAN-PA;Brasília : IPHAN, Progrma Monumenta, 2010.;(Roteiros do patrimônio, 8);Barroco e Rococó nas igrejas de São João Del-Rei e Tiradentes /;IPHAN-PA(571);;Oliveira, Myriam Andrade Ribeiro de;;;;;;;;;;;;;;;;;;
Barroco  Rococó  Igrejas - rio de janeiro (rj);;396 p. : il. color.;Justiniano, Fátima;Roteiros do Patrimonio;;720  R843  CDP (Brasília)  726.5098153  O48b  IPHAN-PA;Brasília : Iphan/Programa Monumenta, 2008.;(Roteiros do Patrimônio);Barroco e rococó nas igrejas do Rio de Janeiro / Myriam Andrade Ribeiro de Oliveira e Fátima Justiniano;IPHAN-PA(571);;Oliveira, Myriam Andrade Ribeiro de;ISBN 9788573340839;;Baroque and rococo in the churches of Rio de Janeiro;;;;;;;;;;;;;;;
Exposição  Arte brasileira;;126 p.;;;;709.81  B455  IPHAN-PA;[Rio de Janeiro] : Paço Imperial, [Rio de Janeiro] : Iphan, 2011.;;BEM do Brasil : patrimônio histórico e artístico;IPHAN-PA(571);;;;;;;;;;;;;;;;;;;;
Patrimônio cultural  Bens móveis  Tombamento;;234 p.;;;;354.81008  B474  3. ed.  IPHAN-PA;Rio de Janeiro : Iphan, 1990.;;Bens móveis e imóveis inscritos nos livros do tombo do Instituto Brasileiro do Patrimônio Cultural;IPHAN-PA(571);;;;3. ed.;;;;;;;;;;;;;;;;
Patrimônio cultural. bens móveis. tombamento;;254 p.;;;;354.81008  B474  4. ed.  IPHAN-PA;Rio de Janeiro : Iphan, 1994.;;Bens móveis e imóveis inscritos nos livros do tombo do Instituto do Patrimônio Histórico e Artístico Nacional;IPHAN-PA(571);;;;4. ed.;;;;;;;;;;;;;;;;
Bens móveis  Bens culturais e integrados  Iphan;;42 p.;Weissheimer, Maria Regina  org.;;;363.690981  B474  IPHAN-PA;Brasília : Iphan, 2009.;;Bens móveis e integrados / [organização Maria Regina Weissheimer];IPHAN-PA(571);;;;;;;;;;;;;;;;;;;;
Quilombos;;79 p. : il.;Pereira, Ricardo Augusto  org.;;;305  I59p  CDP (Brasília)  305  I59  IPHAN-AP  305.896998122  P436b  IPHAN-PA;Teresina : Iphan-PI, 2012.;;Bens Negros : referências culturais em comunidades quilombolas do Piauí / Pereira, Ricardo Augusto (Organização);IPHAN-PA(571);;;ISBN 9788573342246;;;;;;;;;;;;;;;;;
Patrimônio cultural. bens tombados. diamantina;;84 p.;;;;344.094  I59b  IPHAN-PA;Belo Horizonte : IPHAN 13ª SR, [1998].;;Bens tombados de Diamantina;IPHAN-PA(571);;Brasil. Iphan 13ªcr;;;;;;;;;;;;;;;;;;
"Maceió; arte popular  Bordado  Maceió  Maceió; pão de acúcar";;32 p.;Azevedo, Patrícia  org.;Sala do Artista Popular,158;Catálogo da exposição realizada no período de 15 de abril a 23 de maio de 2010;746.3  B662  IPHAN-PA;"Rio de Janeiro : IPHAN; CNFCP, 2010.";(Sala do Artista Popular,158);BOA noite : Bordados da ilha de Ferro;IPHAN-PA(571);;;;;;;;;;;;;;;;;;;;
Educação patrimonial. patrimonio cultura. memória urbanal;;88 p.;Scifoni, Simone  org.;;;363.69098161  S416b  IPHAN-PA;São Paulo : Iphan, 2007.;;Bom retiro : memória urbana e patrimônio cultural: coletânea de textos para Educação Patrimonial / Organização - Simone Scifoni;IPHAN-PA(571);;;;;;;;;;;;;;;;;;;;
Bonecos indigenas. indios karajá. cerâmica. arte folclórica. artesanato;;28 p.;;Sala do artista popular, 165;Folheto;738.830981  L732b  IPHAN-PA;Rio de Janeiro : IPHAN, CNFCP, 2011.;(Sala do artista popular, 165);Bonecas cerâmicas ritxoko : arte e ofício do povo Karajá /;IPHAN-PA(571);;Lima Filho, Manuel Ferreira Et Al;;;;;;;;;;;;;;;;;;
"Artesanato em barro  Bahia; artesãos  Bahia";;40 p.;Vianna, Leticia et al. (Org.);Sala do Artista Popular,extrassérie;Catálogo da exposição realizada no período de 30 de julho a 28 de agosto de 2009;738  B727  2  IPHAN-PA;"Rio de Janeiro : IPHAN; CNFCP, 2009.";(Sala do Artista Popular,extrassérie);BORDADOS em Tauá : cerâmica de Rio Real;IPHAN-PA(571);;;;2. ed.;;;;;;;;;;;;;;;;
"Monumentos; relações interamericanas; conferências";;364 p.;;Série Pesquisa e Documentação do IPHAN, 6;;981.15  A553b  IPHAN-PA;Rio de Janeiro : IPHAN/DAF/Copedoc, 2012.;(Série Pesquisa e Documentação do IPHAN, 6);Brasil : monumentos históricos e arqueológicos /;IPHAN-PA(571);;Andrade, Rodrigo de Melo Franco de,  1898-1969;ISBN 9788573342079;;;;;;;;;;;;;;;;;
Brasil. centro nacional de folclore e cultura popular  Instituições culturais;;59 p.;;;;392.81  W158b  IPHAN-PA;Rio de Janeiro : Iphan, 2008.;;Brasis revelados : 50 anos do Centro Nacional de Folclore e Cultura Popular;IPHAN-PA(571);;Waldeck, Guacira (org.);;;;;;;;;;;;;;;;;;
Pernanbuco  Produção artesanal  Brinquedo;;36 p.;;Sala do Artista Popular;;745.7  W158b  IPHAN-PA;Rio De Janeiro : Iphan, Rio De Janeiro : CNFCP, 2011.;(Sala do Artista Popular  172);Brinquedos em Recife : índice de invenções /;IPHAN-PA(571);;Waldeck, Guacira (org.).;;;;ISSN 14143755;;;;;;;;;;;;;;
Bumba-meu-boi  Folclore - maranhão;;252 p.;;;;398.09813  I59b  IPHAN-PA  398.81  I59b  IPHAN-AP;São Luis : IPHAN - MA, 2011.;;Bumba-meu-boi : som e movimento;IPHAN-PA(571);;Instituto do Patrimônio Histórico e Artístico Nacional;;;;;;;;;;;;;;;;;;
