Nome;Condição;Tipo;UF;Município;Coordenada(s)_geográfica(s);Contatos;Bens_vinculados_Condição;Bens_vinculados_Nome;Bens_vinculados_Categoria;Bens_vinculados_Abrangência;Ações_vinculados_Tipo;Ações_vinculados_Nome;Ações_vinculados_Instrumento;Ações_vinculados_Situação;Página
Centro de Referência de Estudo Afro do Sul Fluminense - Ponto de Cultura Jongo de Pinheiral;Referência/Partícipe;Associação de detentores;RJ;Pinheiral;-22,518064750348945   -44,00260672899374;Nenhum registro encontrado;Registrado;Jongo no Sudeste;Formas de expressão;Regional;Reconhecimento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento;"Registro do Jongo no Sudeste como Patrimônio Cultural do Brasil||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Documentário ""Sou de Jongo""||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Capacitação em Registro Audiovisual||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Capacitação de Jovens Lideranças||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Calendário Jongueiro||Jongo no Sudeste - Oficinas sobre elaboração de projetos para o Edital Culturas Populares||Jongo no Sudeste - participação da comunidade em em prêmios e concursos||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Apoio à criação de Pontos de Cultura nas comunidades jongueiras -Assessoria||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Portal||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Ações educativas nas comunidades jongueiras - Seminários||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Publicação Rede de Memória do Jongo/Caxambu||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Premiações para comunidades do Pontão de Cultura";Registro||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda;Registrado||Concluída||Concluída||Concluída||Concluída||Concluída||Concluída||Concluída||Concluída||Concluída||Concluída||Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/74/
Associação Cultural Jongo da Serrinha - Ponto de Cultura “Escola de Jongo da Serrinha”;Referência/Partícipe;Associação de detentores;RJ;Rio de Janeiro;-22,866678769492925   -43,32830773355057;Nenhum registro encontrado;Registrado;Jongo no Sudeste;Formas de expressão;Regional;Reconhecimento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento;"Registro do Jongo no Sudeste como Patrimônio Cultural do Brasil||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Capacitação em Registro Audiovisual||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Capacitação de Jovens Lideranças||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Calendário Jongueiro||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Portal||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Ações educativas nas comunidades jongueiras - Seminários||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Documentário ""Sou de Jongo""||Jongo no Sudeste - Oficinas sobre elaboração de projetos para o Edital Culturas Populares||Jongo no Sudeste - participação da comunidade em em prêmios e concursos||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Apoio à criação de Pontos de Cultura nas comunidades jongueiras -Assessoria||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Publicação Rede de Memória do Jongo/Caxambu||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Premiações para comunidades do Pontão de Cultura";Registro||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda;Registrado||Concluída||Concluída||Concluída||Concluída||Concluída||Concluída||Concluída||Concluída||Concluída||Concluída||Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/75/
Associação Jongo Dito Ribeiro - Ponto de Cultura Comunidade Jongo Dito Ribeiro;Referência/Partícipe;Associação de detentores;SP;Campinas;-22,923819562774902   -47,118324775311265;Nenhum registro encontrado;Registrado;Jongo no Sudeste;Formas de expressão;Regional;Reconhecimento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento;"Registro do Jongo no Sudeste como Patrimônio Cultural do Brasil||Jongo no Sudeste - Oficinas sobre elaboração de projetos para o Edital Culturas Populares||Jongo no Sudeste - participação da comunidade em em prêmios e concursos||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Apoio à criação de Pontos de Cultura nas comunidades jongueiras -Assessoria||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Publicação Rede de Memória do Jongo/Caxambu||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Capacitação em Registro Audiovisual||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Capacitação de Jovens Lideranças||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Calendário Jongueiro||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Portal||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Ações educativas nas comunidades jongueiras - Seminários||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Documentário ""Sou de Jongo""||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Premiações para comunidades do Pontão de Cultura";Registro||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda;Registrado||Concluída||Concluída||Concluída||Concluída||Concluída||Concluída||Concluída||Concluída||Concluída||Concluída||Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/76/
Comissão Maranhense de Folclore - CMF;Partícipe;Instituição pública estadual;MA;São Luís;-2,529164281116898   -44,30600146026429;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Reconhecimento;Registro do Complexo Cultural do Bumba-meu-Boi do Maranhão como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/77/
Comissão Maranhense de Folclore - CMF;Partícipe;Instituição pública estadual;MA;São Luís;-2,5303781376485177   -44,266629314133574;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Reconhecimento;Registro do Complexo Cultural do Bumba-meu-Boi do Maranhão como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/78/
Fundação Municipal de Cultura de São Luís;Partícipe;Instituição pública municipal;MA;São Luís;-2,5303781376484924   -44,27898893327382;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Reconhecimento;Registro do Complexo Cultural do Bumba-meu-Boi do Maranhão como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/79/
Conselho Municipal de Cultura de Olinda;Partícipe;Instituição pública municipal;PE;Olinda;-8,017996357266682   -34,85222015764641;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Reconhecimento;Registro do Frevo como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/80/
Conselho de Política de Cultural de Recife;Partícipe;Instituição pública municipal;PE;Recife;-8,056213108898906   -34,88934589369788;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Reconhecimento;Registro do Frevo como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/81/
Secretaria de Cultura do Estado do Pará;Partícipe;Instituição pública estadual;PA;Belém;-1,4516800733240247   -48,47354314612523;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Apoio e fomento||Reconhecimento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento;"Salvaguarda do Círio de Nazaré - Pontão de Cultura Acorda! (Convênio 2007/2009 celebrado com o Museu do Círio) - Exposição ""Laços da Fé""||Registro do Círio de Nazaré como Patrimônio Cultural do Brasil||Círio de Nazaré - Ações educativas para a comunidade em geral||Salvaguarda do Círio de Nazaré - Pontão de Cultura Acorda! (Convênio 2007/2009 celebrado com o Museu do Círio) - Criação de Ponto de Cultura em Igarapé Miri||Salvaguarda do Círio de Nazaré - Pontão de Cultura Acorda! (Convênio 2007/2009 celebrado com o Museu do Círio) - Divulgação||Círio de Nazaré - Oficinas temáticas de capacitação";Ação de salvaguarda||Registro||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda;Concluída||Registrado||Concluída||Concluída||Concluída||Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/82/
Museu do Círio;Partícipe;Instituição pública estadual;PA;Belém;-1,454755577556654   -48,50398085402369;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento;"Salvaguarda do Círio de Nazaré - Pontão de Cultura Acorda! (Convênio 2007/2009 celebrado com o Museu do Círio) - Exposição ""Laços da Fé""||Círio de Nazaré - Ações educativas para a comunidade em geral||Salvaguarda do Círio de Nazaré - Pontão de Cultura Acorda! (Convênio 2007/2009 celebrado com o Museu do Círio) - Criação de Ponto de Cultura em Igarapé Miri||Salvaguarda do Círio de Nazaré - Pontão de Cultura Acorda! (Convênio 2007/2009 celebrado com o Museu do Círio) - Divulgação||Círio de Nazaré - Oficinas temáticas de capacitação";Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda;Concluída||Concluída||Concluída||Concluída||Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/83/
Ponto de Cultura Tambores da Ilha / Instituto de Desenvolvimento Sustentável Bem Comum;Partícipe;Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc);MA;São Luís;-2,5248903180665296   -44,292721843430165;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Reconhecimento||Apoio e fomento;"Registro do Tambor de Crioula do Maranhão como Patrimônio Cultural do Brasil||Salvaguarda do Tambor de Crioula no Maranhão"" - parceria para Pontão de Cultura";Registro||Ação de salvaguarda;Registrado||Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/84/
Fundação de Apoio ao Desenvolvimento do Ensino, Ciência e Tecnologia do Estado de Mato Grosso do Sul - FUNDECT;Partícipe;Instituição pública estadual;MS;Campo Grande;-20,44763583949802   -54,60389285959364;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Reconhecimento;Registro do Modo Fazer Viola de Cocho como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/85/
Prefeitura Municipal de Corumbá;Partícipe;Instituição pública municipal;MS;Corumbá;-19,001096790495616   -57,65086586101623;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Reconhecimento;Registro do Modo Fazer Viola de Cocho como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/86/
Central de Bumba-meu-boi dos Sotaques da Baixada e Costa de mão;Partícipe;Associação de detentores;MA;São Luís;-2,533122038731967   -44,29134855241497;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Reconhecimento;Registro do Complexo Cultural do Bumba-meu-Boi do Maranhão como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/87/
União de Bois de Orquestra do Maranhão;Partícipe;Associação de detentores;MA;São Luís;-2,53214666830934   -44,25912449330963;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Reconhecimento;Registro do Complexo Cultural do Bumba-meu-Boi do Maranhão como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/88/
Associação das Escolas de Samba do Rio de Janeiro;Referência/Partícipe;Associação de detentores;RJ;Rio de Janeiro;-22,90594392907524   -43,21693705083563;Nenhum registro encontrado;Registrado;Matrizes do Samba no Rio de Janeiro: Partido Alto, Samba de Terreiro e Samba-Enredo;Formas de expressão;Estadual;Reconhecimento;Registro das Matrizes do Samba no Rio de Janeiro: partido alto, samba de terreiro e samba-enredo como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/89/
LIESA - Liga Independente das Escolas de Samba do Rio de Janeiro;Referência/Partícipe;Associação de detentores;RJ;Rio de Janeiro;-22,898353715489417   -43,22655008794462;Nenhum registro encontrado;Registrado;Matrizes do Samba no Rio de Janeiro: Partido Alto, Samba de Terreiro e Samba-Enredo;Formas de expressão;Estadual;Reconhecimento;Registro das Matrizes do Samba no Rio de Janeiro: partido alto, samba de terreiro e samba-enredo como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/90/
UFBA - CEAO e Escola de Música e Escola de Dança;Partícipe;Fundação universitária;BA;Salvador;-12,983939207766005   -38,506584980855855;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Reconhecimento;Registro do Samba de Roda do Recôncavo Baiano como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/91/
Associação Respeita Januário de Pesquisa e Valorização dos Cantos e Músicas Tradicionais do Nordeste;Partícipe;Associação de detentores;PE;Recife;-8,041949899816876   -34,92084073309306;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/92/
Associação da Comunidade Negra  Remanescente de Quilombo da Fazenda São  José da Serra - Ponto de Cultura “Núcleo de  Cultura Popular do Vale do Paraíba -  Quilombo São José da Serra”;Referência/Partícipe;Associação de detentores;RJ;Valença;-22,24547096738357   -43,7081219976672;Nenhum registro encontrado;Registrado;Jongo no Sudeste;Formas de expressão;Regional;Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Reconhecimento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento;"Jongo no Sudeste - Oficinas sobre elaboração de projetos para o Edital Culturas Populares||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Apoio à criação de Pontos de Cultura nas comunidades jongueiras -Assessoria||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Premiações para comunidades do Pontão de Cultura||Jongo no Sudeste - participação da comunidade em em prêmios e concursos||Registro do Jongo no Sudeste como Patrimônio Cultural do Brasil||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Capacitação em Registro Audiovisual||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Documentário ""Sou de Jongo""||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Publicação Rede de Memória do Jongo/Caxambu||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Portal||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Capacitação de Jovens Lideranças||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Ações educativas nas comunidades jongueiras - Seminários||Salvaguarda do Jongo no Sudeste - Pontão de Cultura do Jongo e Caxambu (Convênio 2007/2009 celebrado com a Fundação Euclides da Cunha de Apoio à Universidade Federal Fluminense) - Calendário Jongueiro";Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Registro||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda;Concluída||Concluída||Concluída||Concluída||Registrado||Concluída||Concluída||Concluída||Concluída||Concluída||Concluída||Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/93/
AWATAC - Associação Wajãpi, Terra, Ambiente e Cultura;Referência/Partícipe;Associação de detentores;AP;Macapá;0,00416658539061517   -51,078646534890375;Nenhum registro encontrado;Registrado;Arte Kusiwa – Pintura Corporal e Arte Gráfica Wajãpi;Formas de expressão;Local;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/94/
Centro Nacional de Folclore e Cultura Popular;Partícipe;Instituição pública federal;RJ;Rio de Janeiro;-22,90720892337214   -43,2114438867731;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Reconhecimento||Reconhecimento||Reconhecimento;Registro do Jongo no Sudeste como Patrimônio Cultural do Brasil||Registro do Modo Fazer Viola de Cocho como Patrimônio Cultural do Brasil||Registro do Ofício das Baianas de Acarajé como Patrimônio Cultural do Brasil;Registro||Registro||Registro;Registrado||Registrado||Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/95/
Federação das Entidades Folclóricas e Culturais do Estado do Maranhão;Referência/Partícipe;Instituição pública estadual;MA;São Luís;-2,5248903180665296   -44,285855388352445;Nenhum registro encontrado;Registrado;Tambor de Crioula do Maranhão;Formas de expressão;Estadual;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/96/
Fundação Cultural do Estado da Bahia;Partícipe;Instituição pública estadual;BA;Salvador;-12,974571769859498   -38,50383839882459;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/97/
Fundação Cultural do Piauí - FUNDAC;Partícipe;Instituição pública estadual;PI;Teresina;-5,093666421443526   -42,797770240461446;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Reconhecimento||Identificação||Apoio e fomento;Registro da Produção Tradicional e Práticas Socioculturais Associadas à Cajuína no Piauí como Patrimônio Cultural do Brasil||Mapeamento Documental do Patrimônio Cultural Imaterial do Piauí||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2005 - Mapeamento, Documentação e Apoio ao Patrimônio Cultural Imaterial;Registro||Mapeamento documental||Ação de salvaguarda;Registrado||Concluída||Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/98/
Fundação de Apoio à Pesquisa da UFG/Funape;Partícipe;Fundação universitária;GO;Goiânia;-16,68520484871024   -49,26419072426946;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Reconhecimento||Reconhecimento;Registro do Ritxòkó: expressão artística e cosmológica do Povo Karajá como Patrimônio Cultural do Brasil||Registro dos Saberes e Práticas Associados aos Modos de Fazer Bonecas Karajá como Patrimônio Cultural do Brasil;Registro||Registro;Registrado||Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/99/
Museu Antropológico – Universidade Federal de Goiás;Partícipe;Fundação universitária;GO;Goiânia;-16,686520315069167   -49,26899724282396;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Reconhecimento||Reconhecimento||Apoio e fomento||Identificação;Registro dos Saberes e Práticas Associados aos Modos de Fazer Bonecas Karajá como Patrimônio Cultural do Brasil||Registro do Ritxòkó: expressão artística e cosmológica do Povo Karajá como Patrimônio Cultural do Brasil||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2006 - Mapeamento e Documentação do Patrimônio Cultural Imaterial||Mapeamento Documental do Patrimônio Cultural Imaterial de Goiás;Registro||Registro||Ação de salvaguarda||Mapeamento documental;Registrado||Registrado||Concluída||Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/100/
IPAC - Instituto do Patrimônio Artístico Cultural da Bahia;Partícipe;Instituição pública estadual;BA;Salvador;-12,97256441581911   -38,49353871620757;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Reconhecimento;Registro do Samba de Roda do Recôncavo Baiano como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/101/
Núcleo de Etnomusicologia da UFPE;Partícipe;Fundação universitária;PE;Recife;-8,064467059744658   -34,89822936995339;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/102/
Secretaria Municipal de Educação, Cultura e Esportes de Caicó;Referência/Partícipe;Instituição pública municipal;RN;Caicó;-6,465357542610928   -37,09488862155513;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Reconhecimento;Registro da Festa de Sant'Ana de Caicó como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/103/
Conjunto Paramaú;Partícipe;Associação de detentores;PA;Belém;-1,4514950602942147   -48,47193918513283;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Identificação;INRC do Carimbó na Mesorregião Metropolitana de Belém;INRC;Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/104/
Conjunto Irmãos Coragem;Partícipe;Associação de detentores;PA;Belém;-1,3746141560166052   -48,47193918513283;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Identificação;INRC do Carimbó na Mesorregião Metropolitana de Belém;INRC;Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/105/
Conjunto Grão-Pará;Partícipe;Associação de detentores;PA;Belém;-1,4254107538274692   -48,473312476148024;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Identificação;INRC do Carimbó na Mesorregião Metropolitana de Belém;INRC;Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/106/
