Assuntos,Desc. física,Ent. princ.,Imprenta,Link,Título,Unidade de descrição,Material,Ent. sec.,Título analítico fonte,Série,ISBN,Forma do registro,Edição,Título não controlado
,,,Rio de Janeiro,http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=182566,,,Fonte de analítica avulsa,,,,,,,
,,,[S.l.: s.n.].,http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=183731,,[Sem material definido],,,,,,,,
,1 doc : Datilografado com emenda.,"Octavio Filho, Rodrigo (Rodrigo Octávio Langgaard de Menezes Filho), 1892-1969","[S. l.] : [s.n.], 14 set. 1950.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=170738,Tenho para mim - e a confissão que vou fazer não espanta,Documento textual de arquivo - Português,,,,,,Discurso.,,
1. Literatura de cordel brasileira,8 p.,"Dila, José Cavalcanti e Ferreira","Caruaru (PE, BR) : [s.n.], 1976.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=218933,São Cipriano e a Bruxa Espady / Autor: José Cavalcanti e Ferreira Dila.,Folheto de cordel - Português,,,,,,,,
,,,,http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=190792,,,Fonte de analítica avulsa,,,,,,,
,,,,http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=36180,O Tempo,,Fonte de analítica avulsa,,,,,,,
,183 p.,"Schmidt, Afonso","São Paulo (BR) : Clube do Livro, 1955.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=4029,Mistérios de São Paulo / Afonso Schmidt.,Livro,,,,,,,,
1. Acre (BR) 2. Acre (AC) - História 3. Região Norte - História,142 p. : il.,"Meira, Sílvio, 1919-","Rio de Janeiro (BR) : Record, 1964.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=127450,A epopéia do Acre : batalhas do ouro-negro / Sílvio de Bastos Meira ; ilustrações e capa de Armando Pacheco.,Livro infantojuvenil - Português,,"I. Alves, Armando Pacheco, 1913-1965 (il)",,(Enciclopédia Histórica; 013)),,,,
1. Paraíba - História,v.,"Machado, Maximiano Lopes","João Pessoa (PB, BR) : Ed. Universitária, UFPb, 1977.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=109947,História da província da Paraíba / Maximiano Lopes Machado.,Livro - Português,,"I. Otávio, José (pref)",,,,,Reprod. da ed. de 1912,
,,,Rio de Janeiro,http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=191420,,,Fonte de analítica avulsa,,,,,,,
1. Literatura infantojuvenil 2. Ecologia 3. Brasil 4. Pantanal Mato-grossense (MT e MS),"98, [1].","Ribeiro, José Hamilton","São Paulo (BR) : Brasiliense, 1974.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=123454,"Pantanal, amor-baguá / José Hamilton Ribeiro.",Livro infantojuvenil - Português,,,,(Jovens do Mundo Todo)),,,,
1. Heroi casal,31 p.,"Lima, João Ferreira de, 1902-1972","Juazeiro do Norte (CE, BR) : João Martins de Athayde, 1953.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=54004,Romance de José de Sousa Leão / João Ferreira Lima.,Folheto de cordel - Português,,,,,,,,
"1. MOREIRA, Thiers Martins. O Menino e o Palacete",2 docs.,"Gomes, Eugênio","Rio de Janeiro (BR) : [s.n.], 25 out. 1954 e 23 fev. 1962.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=165063,Correspondência - Thiers Martins Moreira,Documento textual de arquivo - Português,,"I. Moreira, Thiers Martins (Destinatário)",,,,Correspondência.,,
,221 p.,Paulo Henrique,"São Paulo (BR) : Brasiliense, 1947.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=119518,Panoramas da história / Paulo Henrique.,Livro - Português,,,,,,,,
,,,[S.l.: s.n.].,http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=149457,,[Sem material definido],,,,,,,,
,16 p. : il.,"Barros, Leandro Gomes de, 1865-1918","Juazeiro do Norte (CE, BR) : José Bernardo da Silva, 1976.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=38942,"Meia noite no cabarét / João Martins de Athayde, [Leandro Gomes de Barros].",Folheto de cordel - Português,,"I. Athayde, João Martins de, 1880-1959",,,,,,
"1. NAVA, Pedro. Poliedro 2. BEYRO FERNANDEZ, Roberto",5 docs : Manuscrito e datilografado.,"Andrade, Maria Julieta Drummond de","Buenos Aires (Argentina) : [s.n.], de 25 jul. 1979 a 15 abr. 1980.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=165601,Correspondência - Pedro Nava,Documento textual de arquivo - Português,,"I. Nava, Pedro (Destinatário)",,,,Correspondência.,,
1. Em processamento,3 v : il.,"Tellechea, Domingo I.","São Paulo (BR) : Instituto Domingo Tellechea de Conservação e Restauro, 1998.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=16312,Pintura en restauro / Domingo I. Tellechea.,Livro - Português,,,,,,,,
,,,"Rio de Janeiro, 23 dez. 1889",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=75762,O Paiz,,Fonte de analítica avulsa,,,,,,,
,88 p. : il.,"Fonseca, Eliane","São Paulo (BR) : Massao Ohno Ed, 1990.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=2395,Histórias de ventania / Eliane Fonseca ; ilustrações de Maninha Cavalcante.,Livro,,"I. Cavalcante, Maninha",,,,,,
1. Direito penal,vii + 161.,"Géminel, Charles","Paris (França) : A. Rousseau, 1899.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=61005,De la responsabilité pénale : des associations,Livro - Francês,,I. Paris. Université. Faculté de Droit,,,,,,
1. Estados Unidos - História - 1801-1809 2. Estados Unidos - História - 1809-1817,9 v : il.,"Adams, Henry (Henry Brooks Adams)","Nova Iorque (EUA) : C.Scribner's, 1889-91.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=54613,History of the United States of America / Henry Adams.,Livro - Inglês,,,,,,,,
1. Notas de dedicatória 2. Direito penal - Brasil,208p. ; 21cm.,"Gonçalves, Victor Eduardo Rios","São Paulo (BR) : Saraiva, 2002.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=122729,Dos crimes contra os costumes aos crimes contra a administração / Victor Eduardo Rios Gonçalves.,Livro,,,,(Sinopses Jurídicas)),8502023543,,"5.ed., ampl. e atual",
1. Imigrante japonês 2. Imigração,,"Storni, 1881-1966",[S.l.: s.n.].,http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=104943,Os japonezes no Rio / Storni.,Charge (Reprodução) - Português,,,O Malho,,,,,
,,"Barbosa, Rui, 1849-1923",,http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=27926,A reforma em projeto : a mobilização do lastro dos bancos - o imposto em oiro - império e república. Sessão em 13 de janeiro de 1892,Capítulo de livro,,,Discursos parlamentares,,,,,
,17 p.,"Leite Neto, João","Maceió : Indústria Gráfica Alagoana, 1975.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=47759,O campus Tamandaré / Etiel da Viçosa.,Folheto de cordel - Português,,,,,,,,
1. Educação e arte 2. Projeto educacional e social 3. Cultura brasileira,152 p. : il. ; 24 cm.,Centro de Documentação e Referência Itaú Cultural,"São Paulo (BR) : Itaú Cultural, 2010.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=131534,"Expedições : Rumos Edicação, Cultura e Arte 2008-2010 / Centro de Documentação e Referência Itaú Cultural ; ilustrações de Vânia Medeiros.",Livro infantojuvenil,,"I. Medeiros, Vânia (il)",,,9788579790140,,,
"1. Barbosa, Rui 2. Centenário de Nascimento de Rui Barbosa - 1949 3. Rio de Janeiro (BR) 4. Translado de Rui Barbosa - Rio de Janeiro",,Atlas Publicidade,[S.l.: s.n.].,http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=159480,Translado de Rui Barbosa,Documento especial de arquivo,,,,,,Fotografia.,,
"1. Crítica literária 2. Lebesque, Phileas, 1869-1958 3. Literatura - Historia e Critica",185 p.,"Veiga, Cláudio, 1927-","Rio de Janeiro (BR) : Topbooks, 1998.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=16011,Um brasilianista francês : Philéas Lebesgue / Cláudio Veiga ; pref. de Carlos Nejar.,Livro - Português,,"I. Nejar, Carlos (pref) II. Fundação Cultural do Estado da Bahia",,,8586020591,,,
,115 p.,"Castro, Silvia de","Lisboa (Portugal) : Europa América, [19--].",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=11085,"Antologia de poetas de Língua Portuguesa / Silvia de Castro, Daniel Diniz.",Livro,,"I. Diniz, Daniel",,,,,,
"1. Morny, Charles-Auguste-Louis-Joseph, Duc de, 1811-1865 2. França - História - Segundo império, 1852-1870","x, 366 : il.","Loliée, Frédéric","Paris (França) : Éd. Émile-Paul, 1928.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=109619,Frère d'Empereur : Le Duc de Morny et la société du second empire d'après des papiers de famille et les archives secrètes du Ministère de l'Intérieur / Frédéric Loliée.,Livro - Francês,,,,,,,15e. ed.,
"1. Balzac, Honoré de, 1799-1850",288 p : il.,"Cabanès, Augustin, 1862-1928","Paris : Albin Michel, s.d.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=40093,Balzac ignoré / D' Cabanès.,Livro - Francês,,,,,,,"12 éd, rev. et augm",
1. Felicitação 2. Política Baiana - O missivista comunica a sucessão governamental na Bahia,10 documentos ; Médio.,"FONTOURA, Propício da","Rio de Janeiro (RJ, BR) : [s.n.] ; Bahia (Bahia) : [s.n.], 06-11-1914 a 05-11-1917.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=156742,,Documento textual de arquivo,,"I. SIMÕES FILHO, Ernesto, Doutor II. Barbosa, Rui (Destinatário) III. Barbosa, Alfredo Rui (Destinatário)",,,,"Correspondências usuais; Cartão de visita, telegramas e carta.",,
,1 v.,"Siqueira, Walter","Campos dos Goytacazes (RJ, BR) : Instituto Campista de Literatura, 1992.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=118027,O tema é perdão / Walter Siqueira.,Livro - Português,,,,,,,,
1. Cidade 2. Vila 3. Vocabulário,,"Andrade, Carlos Drummond de, 1902-1987","[S.l.: s.n.], [s. d.].",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=192325,Lugares do Brasil,Documento textual de arquivo,,"I. GHYKA, Matila, 1881-1965 (Citação) II. Carvalho, Daniel de (Citação) III. Instituto Brasileiro de Geografia e Estatística",Leitura,,,crônica.,,
1. Transportes - embarcações,,"ELIOT, Harry",[S.l.: s.n.].,http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=161476,Veleiro,Documento especial de arquivo,,,,,,Estampa.,,
,217 p.,"Assis, Machado de, 1839-1908","São Paulo (BR) : Globo, 1997.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=11734,Contos fluminenses : contos / Machado de Assis.,Livro - Português,,,,(Obras completas de Machado de Assis)),,,,
,"01 p. ; Altura do bule: 0,0223m, Comprimento do bule: 0,215m, Altura da armação: 0,393m, Comporimento da armação: 0,192m, Largura da armação: 0,179m.",,"Não especificado : Não especificado, Não especificado.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=132999,Samovar,Objeto,,,,,,,,
1. Literatura - Periódico - Brasil,,,"Maceió (AL, BR) : Organizações Brêda, 1961- .",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=113707,Feira Literária,Periódico - Português,,,,,,,,
