Autor,Descrição,Desenho Livre,Document,Dossiê,Função Sérgio Britto,Link do Item,Local,Nome do material,Tipo de artigo,Título,Ano,Tipo de publicação,Elenco,Equipe Técnica,Veículo da publicação,Material de Divulgação,Número de páginas,Projeto Gráfico,Observação
,"Peça de Getúlio a Getúlio a História de um mito, de Sergio Britto e Clóvis Levy no Teatro João Caetano.
Elenco: Sergio Britto, Osmar Prado, Dell Costa, Jalusa Barcelos, Nedira Campos, Eli Mendes, Marcelo Capobiano e Samir Murad. Direção: Sergio Britto. Osmar Prado foi substituído por Rogério de Freitas. Cenografia: Tauanan Pacheco e figurinos em parceria com Luana de Sá. Coreografia de Claudia Ribeiro.
Osmar Prado vive um ator que vive Getúlio, uma peça dentro da peça, que mistura ficção e realidade.",,,De Getúlio a Getúlio,,https://www.funarte.gov.br/acervo-sergio-britto-digital/de-getulio-a-getulio-18/,Rio de Janeiro - RJ,Hemeroteca,,De Getúlio a Getúlio,2002,reportagem,,,notícias diversas,,,,
Sergio Britto,"Escritos de Sergio sobre a carreira, começando pelas óperas.",Não,,Sergio Britto,Autor,https://www.funarte.gov.br/acervo-sergio-britto-digital/escritos-sobre-a-carreira/,,Manuscrito,digitado,Escritos sobre a carreira,,,,,,,,,
Clara Elisabet,Matéria de divulgação do livro lançado por Sérgio Britto: O Palco dos Outros.,,,O Palco dos Outros,,https://www.funarte.gov.br/acervo-sergio-britto-digital/britto-tambem-vira-escritor/,Rio de Janeiro,Hemeroteca,,Britto também vira escritor,1991,reportagem,,,,,,,
matérias diversas,"Matérias sobre a peça A moratória de Jorge Andrade, direção de Ratto. Cia Maria Della Costa. No Teatro Maria Della Costa. Direção Gianni Ratto. 
Elenco: Elisio Albuquerque, Fernanda Montenegro, Sergio Britto, Moná Delacy, Milton Maoraes e Wanda Kosmos. Figurinos de Luciana Petrucelli. Primeira peça de Jorge Andrade encenada.",,,Maria Della Costa,,https://www.funarte.gov.br/acervo-sergio-britto-digital/a-moratoria-5/,São Paulo,Hemeroteca,,A Moratória,1955,reportagem,,,matérias diversas,,,,
,"Ópera II campanello de Dozinzetti
Elenco: Paulo Fortes, Ruth Staerke, Lício Bruno, Norma Geraldy e Luis Fernando Lobo. Direção: Sergio Britto e Cirlei de Hollanda.",,,Il Campanello,Diretor,https://www.funarte.gov.br/acervo-sergio-britto-digital/programa-il-campanello/,Centro Cultural Banco do Brasil,Impresso,,Programa Il Campanello,1992,,"Elenco: Paulo Fortes, Ruth Staerke, Lício Bruno, Norma Geraldy e Luis Fernando Lobo",Direção: Sergio Britto e Cirlei de Hollanda.,,Programa,11,,
,Foto de Sergio Britto e Isolda Cresta no espet'aculo O suic'idio.,,,O Suicídio,,https://www.funarte.gov.br/acervo-sergio-britto-digital/o-suicido/,,Hemeroteca,,O suicído,1982,reportagem,,,Última Hora,,,,
,,,,Sergio Britto,Personalidade,https://www.funarte.gov.br/acervo-sergio-britto-digital/fotos-do-ultimo-aniversario-de-sergio-britto/,Casa do Sergio em Santa Teresa | Rio de Janeiro,Fotografia,,Fotos do último aniversário de Sergio Britto,,,,,,,,,
,Texto do espetáculo Noel Roosa vai ao teatr e partitiuras das músicas que compõe o espetáculo,Não,,Outros,,https://www.funarte.gov.br/acervo-sergio-britto-digital/noel-rosa-vai-ao-teatro/,,Manuscrito,digitado,Noel Rosa vai ao teatro,,,,,,,,,
,"Crítica do espetáculo "" Nossa Cidade "" de Thornton Wilder",,,Grupo Ponto de Partida,,https://www.funarte.gov.br/acervo-sergio-britto-digital/nossa-cidade-homenagea-um-grande-actor-carioca/,Rio de Janeiro,Hemeroteca,,Nossa cidade homenagea um grande actor carioca,1992,reportagem,,,Nossa cidade,,,,
Sergio Salvia Coelho,"Os atores  Sérgio Britto e Laura Cardoso  comandam encontro de família na peça "" Outono Inverno "" do dramaturgo sueco Lars Noén .",,,Outono Inverno,,https://www.funarte.gov.br/acervo-sergio-britto-digital/atores-brilham-em-montagem-sutil/,São Paulo,Hemeroteca,,Atores brilham em montagem sutil,,critica,,,Folha de São Paulo,,,,
Edison Nequette,Email com as palavras de Edison Nequette sobre a festa de lançamento do livro O teatro & eu na Livraria da Travessa.,Não,,O Teatro e eu,,https://www.funarte.gov.br/acervo-sergio-britto-digital/email-festa-travessa/,,Manuscrito,datilografado | digitado,Email festa Travessa,2010,,,,,,,,
Danilo Santos de Miranda,"Telegrama de Danielo Santos de Miranda, em nome do Sesc, parabenizando Sergio Britto pelo lançamento do livro O teatro & eu.",Não,,O Teatro e eu,,https://www.funarte.gov.br/acervo-sergio-britto-digital/telegrama-sesc/,,Manuscrito,datilografado | digitado,Telegrama Sesc,2010,,,,,,,,
,Matéria sobre o lançamento do livro O teatro e eu destacando os principais pontos.,,,O Teatro e eu,,https://www.funarte.gov.br/acervo-sergio-britto-digital/confidencias-libertadoras/,Rio de Janeiro,Hemeroteca,,Confidências libertadoras,2010,reportagem,,,Jornal do Brasil,,,,
,Matéria sobre o lançamento do livro O teatro e eu destacando os principais pontos.,,,O Teatro e eu,,https://www.funarte.gov.br/acervo-sergio-britto-digital/bastidores-da-vida/,Rio de Janeiro,Hemeroteca,,Bastidores da vida,2010,reportagem,,,Jornal do Brasil,,,,
,Matéria sobre o lançamento do livro O teatro e eu destacando os principais pontos.,,,O Teatro e eu,,https://www.funarte.gov.br/acervo-sergio-britto-digital/sergio-britto-lanca-o-teatro-eu-memorias/,Rio de Janeiro,Hemeroteca,,Sergio Britto lança O teatro & eu memórias,2010,reportagem,,,Legião da Boa Vontade,,,,
